compound_id,base_rdkit_smiles,avg_pIC50,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL477586,CC(C)C(=O)N(Cc1ccc(F)cc1F)[C@H]1CCNC1,6.3979400086720375,15.164637542517008,-4.618769486961452,15.164637542517008,0.8947202800873439,0.9188594113878819,282.3339999999996,262.174,282.15436970000053,110,0,0.22521909531973583,-0.33373057814106,0.33373057814106,0.22521909531973583,1.85,2.65,3.3,3.2739890170802735,1184.6911970552492,32.19615242270663,29.558604427482233,9.558604427482233,17.356836025229594,14.897336202491012,4.950122606991053,3.314347627292616,3.314347627292616,1.9924058516016714,1.9924058516016714,1.1668611309782504,1.1668611309782504,-1.49,53883905.486284226,3.635504207098845,6.3066555501247965,3.3348841398488482,145.66980639083937,10.209723084138854,13.04628376041999,0.0,5.907179729351506,0.0,0.0,4.794537184071822,8.78083009534964,0.0,0.0,19.746202942254655,18.91220329330862,54.331300951917804,8.224551337021321,41.03162192498385,5.907179729351506,0.0,10.209723084138854,5.893957685363079,32.59146128858632,12.99371936863189,35.32514929677867,0.0,0.0,5.309813353288376,8.78083009534964,0.0,0.0,29.818701297183516,11.291396868387768,17.528399367454867,51.68457319485196,18.127256122989884,1.4118420783282006,0.0,0.0,32.34,102.92119045285034,9.184952231746642,4.39041504767482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.456254645562375,187.01044413212819,0.0,12.536189373897706,-0.8947202800873439,-2.0713884164777028,-12.010813019652312,-10.090106646825397,-4.3423222552910055,-21.47061622102546,0.0,0.5333333333333333,20,1,3,0,1,1,1,0,1,2,1,5,6,0,1,1,2,2.3113,73.02070000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL517423,CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc1cccc(F)c1C,8.522878745280337,15.156028817429434,-4.256378732048377,15.156028817429434,0.9057235633450915,0.9122116846429665,301.3609999999996,281.20099999999996,301.1478071000006,116,0,0.21115171518081224,-0.4822413076675053,0.4822413076675053,0.21115171518081224,1.6363636363636365,2.5454545454545454,3.3636363636363638,2.684186993893713,1456.938230946648,32.919767061838236,30.64167464943691,10.641674649436911,18.711989948517655,15.604030153664187,5.748568267700366,4.104085615182319,4.104085615182319,2.747655460820153,2.747655460820153,1.8118896377723221,1.8118896377723221,-1.9099999999999997,263044179.5915832,4.132700588252859,5.705445060820689,2.4871917933353767,157.53963232037034,15.155484498195637,18.579625563641688,6.080018026949988,1.4311996572326342,0.0,0.0,0.0,4.39041504767482,0.0,0.0,30.212093538316473,37.039459416298506,32.14082163904452,10.96606844936176,40.32158228197426,0.0,1.4311996572326342,5.309813353288376,0.0,24.905885856558736,13.47268658459819,64.80450626977995,0.0,5.749511833283905,10.046676307088426,4.39041504767482,5.749511833283905,0.0,25.613745243921727,6.372924901329379,12.669112958341575,47.444026513104966,42.29693095364306,1.4118420783282006,0.0,0.0,41.489999999999995,114.24240389750916,1.3707585561702202,4.39041504767482,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,30.88280014425462,181.91881242302168,0.0,0.0,3.5062898531326105,-8.54428550432519,-3.5990676702779885,-9.131548457913672,-7.951838860544222,-11.698361783093251,0.0,0.3333333333333333,22,2,3,1,0,1,2,0,2,3,2,4,7,0,0,0,3,2.7608200000000007,83.52850000000004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4071830,CNc1nc(C#Cc2ccc(Br)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)OC)C[C@H]12,5.448550002027125,13.46064004513902,-3.982329795646428,13.46064004513902,0.01729510038093851,0.36300542715308387,504.366,486.2220000000003,503.0262871560005,160,0,0.3144269279941603,-0.4685057433919612,0.4685057433919612,0.3144269279941603,1.6129032258064515,2.5483870967741935,3.2903225806451615,1.9011040981604297,1980.4744301764767,37.292164260954436,32.655273902828334,17.057767022870763,22.21239861484427,16.84123620480559,9.687020878862981,6.053316706217132,8.391836335548392,4.42672535388533,5.800109313782889,3.0309175442950966,4.101052575266063,-2.52,12330544467.40851,8.439850412270415,7.270689755724722,2.971914778613576,214.6923380960258,24.831392337094204,12.865767052516986,18.393582794547214,8.686803812465195,0.0,5.969305287951849,4.794537184071822,14.951935562841626,0.0,11.336785877934737,0.0,46.228574852316605,21.09433592266664,45.068865529048246,41.72223694096782,50.21777578005495,2.8623993144652684,19.519035210632982,11.308948154759857,24.550853423579003,19.32359271245321,32.876176038830764,0.0,11.840868637711289,5.309813353288376,5.817862777835028,0.0,27.266729775884087,64.74217160832933,9.53140013787187,23.14981679247115,43.65374740393357,22.174624347129537,1.4118420783282006,11.16387793838399,0.0,122.39,84.95240315364072,7.536054296412263,0.0,30.625312827944338,0.0,11.336785877934737,0.0,0.0,0.0,57.677227434516745,22.09410262300633,151.58238784694754,3.9432635707864927,25.126904497437177,8.517637693177726,-5.490656292140086,-2.7373302182075188,-4.409085244403573,-12.830263078472598,-3.296878651185491,-3.6559801239396608,0.4,31,3,9,2,0,2,0,3,3,10,3,11,7,2,0,2,5,1.5475999999999996,116.47530000000003,0,2,0,0,0,4,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHEMBL369997,CCCC(C(=O)c1ccc(-c2cccs2)cc1)N1CCCC1,6.580044251510242,14.291781331359699,-4.7149720227597225,14.291781331359699,0.38957973201141427,0.7096644317948442,313.4659999999996,290.28200000000004,313.15003535600067,116,0,0.17944275883030011,-0.2932750340635984,0.2932750340635984,0.17944275883030011,1.4545454545454546,2.227272727272727,2.8636363636363638,2.56144807446988,1517.930193721929,35.63531001146206,33.763710176427686,11.58020675735541,19.756665939490652,17.283192828945733,6.599689409873458,3.7699962278207213,4.586492808748446,2.476774302788529,3.1912088111002896,1.536710577398105,2.047020940477934,-1.4500000000000002,805127256.8081937,3.7855465158731985,7.207956557493418,3.3094520976423527,168.64318574611949,0.0,0.0,5.783244946364939,0.0,0.0,0.0,9.694446914922299,0.0,0.0,11.336785877934737,43.436910556941534,49.07447868164791,31.00197702795159,16.983960917711403,36.32198397598689,17.120030824299675,0.0,4.899909730850478,0.0,38.36148419096284,12.99371936863189,47.17407814734436,0.0,10.440598685398296,0.0,0.0,0.0,11.336785877934737,29.69476651419695,0.0,0.0,74.22902719029709,41.610626655647366,0.0,10.440598685398296,0.0,20.310000000000002,119.65303506955283,4.794537184071822,0.0,0.0,11.336785877934737,0.0,0.0,0.0,0.0,0.0,31.527446791915054,187.36269893505983,0.38957973201141427,12.90249170775212,-0.514517467166,-2.3672861158352223,-2.4814234798857813,-11.342568981523659,-17.174949459707523,-12.607358204038505,0.0,0.42105263157894735,22,0,2,0,1,1,1,1,2,3,0,3,7,0,1,1,3,4.862300000000005,93.58850000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHEMBL507379,CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc1ccccc1CO,6.522878745280337,9.316787603930461,-4.232362528344674,9.316787603930461,0.8801680077895355,0.7877725687759914,299.36999999999955,278.20199999999994,299.1521435320006,116,0,0.21115171518080503,-0.48224883984951866,0.48224883984951866,0.21115171518080503,1.5454545454545454,2.409090909090909,3.272727272727273,2.6906571268073196,1477.1668157758916,33.62687384302478,31.671958466891546,10.671958466891548,19.272650120297477,16.02742035285537,5.763710176427685,4.017165451293671,4.017165451293671,2.707980856057658,2.707980856057658,1.8172205295422232,1.8172205295422232,-1.8799999999999994,476088178.48397607,3.955908591805757,6.084896581778482,2.6087203862984762,159.65997142793515,20.26429268930285,12.762404722595795,6.080018026949988,2.8623993144652684,0.0,0.0,0.0,0.0,0.0,0.0,42.29693095364306,24.14514859133953,28.028545970533855,21.637329360788705,41.039975425406645,0.0,2.8623993144652684,5.309813353288376,0.0,24.612978982179346,13.47268658459819,65.02970413639734,0.0,5.749511833283905,10.046676307088426,0.0,5.749511833283905,0.0,32.153753092261574,12.931910144245668,0.0,47.444026513104966,48.33934966130636,1.4118420783282006,0.0,0.0,61.72,114.17469488974719,1.3707585561702202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.217616382214425,32.313999801487256,176.24018803461848,0.0,0.0,7.536070150263196,-8.150462214978587,-1.4750458238851099,-9.756892895339186,-7.879353269085417,-11.514503981593407,0.0,0.3333333333333333,22,3,4,1,0,1,2,0,2,4,3,4,8,0,0,0,3,1.8055999999999996,84.75630000000004,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL2171416,CCCOC(c1ccc2ccccc2c1)C1CNC1,7.920818753952375,9.025151643990931,-4.213609050873439,9.025151643990931,0.44879354327564114,0.8822165108216132,255.36100000000016,234.19299999999996,255.162314292,100,0,0.12221918158550855,-0.3731473437735342,0.3731473437735342,0.12221918158550855,1.5789473684210527,2.4210526315789473,3.263157894736842,2.599915431501232,1382.7801976929093,31.557959742272434,30.35546188596382,9.355461885963821,17.608601005154664,15.55267548146378,5.1054618859638214,3.368658487088832,3.368658487088832,2.243658487088831,2.243658487088831,1.4117383081571713,1.4117383081571713,-1.38,85589668.08872029,2.9497696632768173,5.722383716959226,2.649043468560304,143.88767584735646,10.046676307088426,1.4118420783282006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.10640436327545,28.751243529619263,39.15424785861347,19.787603588652185,33.56387615553265,10.772448428929591,0.0,5.309813353288376,5.893957685363079,19.304835045575047,19.55270461154818,47.86038244534006,0.0,0.0,5.309813353288376,0.0,0.0,0.0,19.55270461154818,4.736862953800049,5.893957685363079,52.28345766067648,42.29693095364306,1.4118420783282006,10.772448428929591,0.0,21.259999999999998,108.69414157004435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.56387615553265,174.34851440194745,0.0,0.0,-2.0440681454004417,-1.4897245842781552,-3.8990262424414217,-7.546986696940023,-8.17145329438913,-15.280588771831562,0.0,0.4117647058823529,19,1,2,0,1,1,2,0,2,2,1,2,6,0,1,1,3,3.526900000000002,79.29170000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1683892,CNCC1(c2ccc(F)c(F)c2)CCCCC1,5.659952682338607,14.654877881708241,-4.596967592592593,14.654877881708241,1.0908012093726387,0.8522259189811667,239.30900000000014,220.15699999999995,239.148556048,94,0,0.1586196164632574,-0.3188651997395019,0.3188651997395019,0.1586196164632574,1.4705882352941178,2.235294117647059,2.9411764705882355,3.4803875348316957,1017.8759332258977,29.04145188432738,27.20314254151841,8.203142541518412,15.580127018922195,13.772391664009143,4.325178068509185,2.9765712707592056,2.9765712707592056,1.9483033199688782,1.9483033199688782,1.188769845846615,1.188769845846615,-0.9600000000000001,9560630.058687773,2.793382910343791,5.129949917082177,2.4912539724844565,127.97853800602785,5.309813353288376,1.4118420783282006,11.63444168209179,0.0,0.0,0.0,0.0,8.78083009534964,0.0,0.0,25.161193411651436,37.36996560996459,32.47322849626602,4.1122756685106605,34.8663261847418,0.0,0.0,5.309813353288376,0.0,37.279614976043675,13.47268658459819,35.32514929677867,0.0,0.0,5.309813353288376,8.78083009534964,0.0,0.0,13.47268658459819,5.41499046939678,11.63444168209179,62.10173000940791,18.127256122989884,1.4118420783282006,0.0,0.0,12.03,91.38726421070893,8.78083009534964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08549608939216,181.41695545424957,0.0,0.0,-1.0908012093726387,-6.600532407407408,-4.588713178172507,-5.692544879062735,-21.954347600151173,-8.49001618008315,0.0,0.5714285714285714,17,1,1,1,0,1,1,0,1,1,1,3,4,1,0,1,2,3.3861000000000026,65.04770000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL2407337,CCOCC(c1ccc(Cl)c(Cl)c1)C1CCNCC1,7.552841968657781,9.159961577223482,-4.637827538422777,9.159961577223482,0.8340136098163549,0.8834052271536502,302.2449999999996,281.077,301.1000196520006,106,0,0.12219024286759658,-0.3810933329701143,0.3810933329701143,0.12219024286759658,1.6842105263157894,2.473684210526316,3.210526315789474,3.3495147146156405,1140.4890982163408,32.248558665513926,30.111390831982277,10.623248724019184,17.287233800108744,15.180639954473007,5.489355304991503,3.019560887482093,3.7754898335005485,1.90242746520081,2.5661062239243226,1.1486284729245548,1.384856268555322,-0.2800000000000001,49925727.636585526,3.545012254854659,7.488491397971696,4.090178023804257,154.5424279981778,10.046676307088426,1.4118420783282006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.24429848812833,56.133707880972985,30.27280415849222,26.199561763590477,33.56387615553265,23.20187978046503,0.0,5.309813353288376,5.893957685363079,25.491699605317518,26.111689854464466,33.73597424216953,0.0,0.0,5.309813353288376,0.0,0.0,23.20187978046503,26.111689854464466,4.736862953800049,5.893957685363079,58.47032222041897,18.127256122989884,11.457108705810853,0.0,0.0,21.259999999999998,96.54313474060298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,52.02889298219767,175.4995517233927,11.721622568340415,0.0,-2.7123937118571724,-1.7027569916855627,-9.187673217435124,-4.126110100676073,-8.787322373393803,-20.73269567446321,0.0,0.6,19,1,2,0,1,1,1,0,1,2,1,4,6,0,1,1,2,4.113100000000004,81.28970000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL350692,CCCN(c1ccncc1)n1cc(C)c2ccccc21,5.886056647693163,8.643950774754346,-3.95009743480726,8.643950774754346,0.12277541572184392,0.7099922169682309,265.35999999999984,246.20799999999994,265.15789760800027,102,0,0.08430376067525366,-0.28122216679499196,0.28122216679499196,0.08430376067525366,1.3,2.15,2.95,2.772266053811948,1456.0493223606504,30.36736081903094,28.841640786499873,9.841640786499873,17.423332606157317,14.791640786499874,5.291640786499874,3.504837387624885,3.504837387624885,2.381230589874906,2.381230589874906,1.5991195435311893,1.5991195435311893,-2.289999999999999,84615895.89381164,3.300084940973895,5.371007618603829,2.155766686340487,145.69311939706546,0.0,0.0,0.0,0.0,0.0,0.0,14.668993485797149,0.0,0.0,0.0,24.979148240285564,36.91552463331194,41.367837980586806,26.28243111017224,26.044412567234176,16.590311206764618,0.0,9.660080961842617,0.0,20.076709135920737,11.505772208270477,60.33664937012105,0.0,0.0,5.008912523954532,5.687386274683562,0.0,0.0,16.156940646158564,0.0,6.851892117295679,44.83268107755626,54.77319787842405,0.0,10.902924932081056,0.0,21.060000000000002,103.50052939712236,0.0,0.0,9.685014964849941,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,26.044412567234176,153.8288323107084,0.0,3.325403616687211,-0.92318641345427,-3.1175004724111854,0.0,-6.168804340409002,-7.276690812127322,-11.00138722232721,0.0,0.23529411764705882,20,0,3,0,0,0,1,2,3,3,0,3,6,0,0,0,3,4.024420000000004,83.94700000000006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL2380975,CNC[C@@H]1CCC[C@H]1c1ccc2[nH]cc(C#N)c2c1,5.431798275933005,9.507897881489601,-4.275795422335602,9.507897881489601,0.19634439536834014,0.8825346574653804,253.34900000000013,234.19699999999995,253.15789760799998,98,0,0.16597377287592538,-0.3598808685269826,0.3598808685269826,0.16597377287592538,1.8421052631578947,2.789473684210526,3.6315789473684212,2.706043337053296,1383.7296157694607,29.980609473082808,28.341640786499873,9.341640786499875,16.77881542390594,14.512461179749812,5.118033988749895,3.532623792124927,3.532623792124927,2.4767220926874307,2.4767220926874307,1.6465169943749463,1.6465169943749463,-1.79,45876149.15198409,3.0973681245141713,5.065057260143756,2.129008944896857,139.9889284666319,10.286816623517627,7.4810633911204745,1.4118420783282006,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,12.415343608992675,55.65474066500669,34.89568137310868,11.046485716377875,26.126579611550138,10.902924932081056,5.261891554738487,10.286816623517627,5.893957685363079,25.012732389351214,13.47268658459819,35.42705431719864,0.0,6.069221312792274,5.309813353288376,0.0,0.0,0.0,18.44968985482744,0.0,17.22507055289384,59.442530827639,24.300151333804646,2.8236841566564013,10.902924932081056,0.0,51.61,96.01916926188053,5.261891554738487,0.0,4.977003270229252,0.0,0.0,6.069221312792274,0.0,0.0,0.0,26.126579611550138,156.0365134384281,0.0,0.19634439536834014,7.843464000684194,-2.904652987738304,-8.346975977891159,-2.22016736500232,-13.050900932164012,-7.970291238351535,0.0,0.4375,19,2,3,1,0,1,1,1,2,2,2,3,4,1,0,1,3,3.1426800000000013,77.02240000000003,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
