compound_id,base_rdkit_smiles,avg_pKi_SLC6A2,avg_pKi_SLC6A3,avg_pKi_SLC6A4,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,active_SLC6A2,active_SLC6A3,active_SLC6A4
CHEMBL553395,CSc1ccccc1C(=O)N(C1CCCCC1)[C@H]1CCNC1,8.301029995663981,5.530177984021837,7.795880017344075,14.770539493575203,-4.960546107331824,14.770539493575203,0.4624280491517598,0.8618539413358711,318.4859999999995,292.278,318.1765844520008,120,0,0.2550351648779572,-0.3313213855613834,0.3313213855613834,0.2550351648779572,1.4090909090909092,2.227272727272727,2.9545454545454546,2.776799324643298,1505.3886712176725,38.40325920389318,36.71092377192764,11.52742035285537,20.797270501240813,18.67762001994565,6.546903005373417,3.729372771006276,4.34174520670207,2.498136636385808,3.008446999465636,1.605723768964361,1.9481891636297048,-1.0,1924082529.6824253,3.498542274052478,7.513007284079085,3.329367225527312,173.9806638010196,10.20972308413885,1.4118420783282006,0.0,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,11.761884949391115,31.20361211931473,43.88439590474713,49.47254066376723,13.788002828718314,40.475343166655534,17.66906467874262,0.0,10.20972308413885,0.0,55.16881782019333,19.177643469748347,29.733126322350174,0.0,0.0,5.309813353288375,0.0,0.0,11.761884949391115,42.02051786664962,0.0,0.0,82.86450198800057,29.06515830617096,1.4118420783282006,0.0,0.0,32.34,131.95837537517338,6.165295740242042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.31004742641348,215.6866857812085,-0.4624280491517598,12.314823331338705,-0.8972189809565805,-1.7108583711262286,-2.61165627362056,-15.182156879491169,-30.43717324957992,-8.450017308620978,0.0,0.6111111111111112,22,1,3,1,1,2,1,0,1,3,1,4,5,1,1,2,3,3.545300000000002,92.54020000000006,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0
CHEMBL515936,CCS(=O)(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1,8.301029995663981,5.559090917934782,5.250263684430939,14.131785234933682,-6.982024977429238,14.131785234933682,0.923324617802432,0.8765355284648744,344.4799999999996,320.28800000000007,344.1558490080007,128,0,0.2139280283461345,-0.3150744624185934,0.3150744624185934,0.2139280283461345,1.375,2.125,2.833333333333333,2.803940322919776,1776.5732110441431,38.08290376865477,35.619172062391506,12.43566864331923,21.08888683279847,18.0616724509002,7.554522184200877,4.042326390404106,5.561731586962462,2.6152828049608496,3.627814426132654,1.6281510455769537,2.25773104404343,-1.6899999999999995,2664057450.0805545,4.341026077400402,7.4672700974815935,3.688810510161223,177.8850813553003,5.309813353288375,1.4118420783282006,0.0,10.023291153407584,0.0,0.0,0.0,8.417796984328938,4.305215991296233,0.0,54.38176836896965,36.41203117803199,38.20223162336463,18.041783890682137,41.357085854572205,10.023291153407584,0.0,9.615029344584608,0.0,25.73956917129065,18.698676253782047,59.94521986066665,0.0,11.126902983393991,5.309813353288375,0.0,0.0,0.0,37.43958169775686,16.520150837723527,0.0,50.31571530223715,54.38176836896965,1.4118420783282006,11.126902983393991,0.0,49.41,135.14868876712555,8.417796984328938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.93928887024325,223.36793383885663,0.0,0.0,-0.923324617802432,-9.305701766926294,0.0,-16.506117413397355,-4.4597932414790735,-17.524305155155634,-6.982024977429238,0.3684210526315789,24,1,4,0,1,1,2,0,2,3,1,5,7,0,1,1,3,2.8672000000000013,98.15650000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0
CHEMBL573844,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(SC(F)(F)F)cc1)N2C,5.721246399047171,,8.096910013008056,13.621798269838491,-5.255297317663169,13.621798269838491,0.8632012056939913,0.6018141558966671,359.41299999999967,339.25300000000004,359.11668454000056,132,0,0.4459223328568379,-0.4687322280225277,0.4687322280225277,0.4459223328568379,1.4583333333333333,2.208333333333333,2.833333333333333,2.753584473621322,1386.5298182068334,35.0330157158901,31.30585188591923,12.122348466846956,19.10373038103647,16.008387828923436,6.824884409851162,4.2990703003829065,5.374352785964976,2.843395598597513,3.4830989140045143,1.932824271153177,2.368403441328246,-1.21,325290781.3201905,5.393822626699647,6.594963937347946,3.4204594133555712,171.18813130805535,4.736862953800049,0.0,0.0,0.0,0.0,11.477635789216103,9.6944469149223,0.0,13.17124514302446,0.0,12.08483741532659,55.50477546068508,40.64508732779302,22.527220037437203,50.11781640430077,17.731190237342965,0.0,4.899909730850477,5.893957685363079,47.45233130283253,14.013779359164834,29.733126322350174,0.0,0.0,0.0,13.17124514302446,0.0,11.761884949391115,42.4271098159307,9.53140013787187,5.893957685363079,57.99135500445266,29.06515830617096,0.0,0.0,0.0,29.54,119.72429463790408,19.3365408832665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,26.044412567234176,209.29276961220032,-1.193799196050729,11.282479024335984,0.0,-7.164132351676774,-12.199857974825736,-15.97730989386496,-13.37907116466754,-4.190570974531788,-3.9705070809187903,0.5882352941176471,24,0,3,0,2,2,1,0,1,4,0,7,5,0,2,2,3,4.037800000000003,85.79100000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,,1.0
CHEMBL376899,COC(=O)[C@@H]1C2CCC(C[C@H]1c1ccccc1)N2C,6.567030709125595,,6.285670240254767,13.54999700806248,-4.612873204837493,13.54999700806248,0.7610355253212395,0.7639593684731169,259.34900000000005,238.18099999999995,259.1572289120001,102,0,0.310376218952702,-0.4687322280225818,0.4687322280225818,0.310376218952702,1.5263157894736843,2.3684210526315788,3.1052631578947367,2.79415119176609,1259.6847776229995,31.82590893470356,30.263710176427686,9.263710176427685,17.419278969168957,15.533192828945731,5.033192828945732,3.547143343306157,3.547143343306157,2.523543940894013,2.523543940894013,1.7150346860656422,1.7150346860656422,-1.35,69034046.14320391,2.961093258534061,4.968138208930675,2.0599632650178914,143.6084434596826,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951848,9.6944469149223,0.0,0.0,0.0,30.21209353831648,31.65805309596738,35.74960385227524,23.897978593607423,38.3173298174465,5.969305287951848,0.0,4.899909730850477,5.893957685363079,37.04851732605051,14.013779359164834,35.77554503001347,0.0,0.0,0.0,0.0,0.0,0.0,36.91877931466645,9.53140013787187,5.893957685363079,59.36211356062289,30.21209353831648,0.0,0.0,0.0,29.54,103.60101441939425,6.165295740242042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,27.415171123404395,177.2252739328756,0.0,12.78896148274124,0.0,-1.6593206727135297,-11.650663737717313,-15.407247378117912,-12.937175571617544,-4.081612641198454,-3.861548747585456,0.5625,19,0,3,0,2,2,1,0,1,3,0,3,4,0,2,2,3,2.4259000000000004,73.87900000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0.0
CHEMBL393701,COC(=O)[C@@H]1CCCC[C@@H]1c1cccc(C(F)(F)F)c1,3.0039263455147247,3.2448877336049287,2.7189666327522723,13.72603919464174,-5.707655423280426,13.72603919464174,1.734264022738725,0.7632948042339152,286.29299999999967,269.157,286.1180644440005,110,0,0.4159196595808602,-0.4687757307327074,0.4687757307327074,0.4159196595808602,1.5,2.25,2.95,3.3367345265738573,1144.4679821775833,29.74855866551393,26.450389999955405,9.450389999955409,16.014578430789705,13.429319145209636,4.929319145209635,3.3872786202238654,3.3872786202238654,2.142795202963502,2.142795202963502,1.3146108226103923,1.3146108226103923,-1.5200000000000005,13371584.338842643,4.243020833333334,5.852964272187855,3.1371255349410063,139.3662230367193,4.736862953800049,0.0,0.0,0.0,0.0,12.145603805395323,4.794537184071822,0.0,13.17124514302446,0.0,30.873105925648645,30.245677687382127,13.7075855617022,28.0906715291342,46.0055407357901,5.969305287951848,0.0,0.0,5.893957685363079,37.56195580812408,7.037952458882589,35.29657781404717,0.0,0.0,0.0,13.17124514302446,0.0,0.0,13.007257746834435,15.707698655315344,5.893957685363079,65.81545572896837,24.16967483065318,0.0,0.0,0.0,26.3,91.75974905436875,17.96578232709628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,23.302895454893736,179.31760604318887,0.0,12.96884397045855,0.0,-4.459503062799194,-11.98577806122449,-7.51925532249937,-23.28853611583523,0.0,-3.8667107846224935,0.5333333333333333,20,0,2,1,0,1,1,0,1,2,0,5,3,1,0,1,2,4.152200000000003,68.15900000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
CHEMBL27907,O=C(CCN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1)c1ccccc1,,6.6777807052660805,5.886056647693163,13.679451138243987,-4.880348329423513,13.679451138243987,1.1086121909450684,0.4390150222935148,428.5759999999996,396.3200000000002,428.2463782640009,166,0,0.1636488559422409,-0.3674594104001164,0.3674594104001164,0.1636488559422409,0.84375,1.3125,1.84375,2.042129923348598,2280.9623244415347,50.3314624341687,47.71092377192764,15.710923771927645,28.37612063290722,24.45401322219567,8.45401322219567,5.32901322219567,5.32901322219567,3.3201760022260247,3.3201760022260247,1.974030958234152,1.974030958234152,-2.7899999999999987,3592665208618.478,5.638095001797389,11.722748977217677,6.360683250598449,235.9429721973892,9.636772684650529,6.080018026949988,5.783244946364939,0.0,0.0,0.0,9.6944469149223,0.0,0.0,0.0,90.63628061494944,11.126902983393991,70.10815428530513,31.23263925398024,53.39567393531895,5.783244946364939,0.0,9.799819461700954,0.0,12.452942928279366,45.54014334881195,107.32663509004044,0.0,0.0,0.0,0.0,0.0,0.0,61.12320775687784,4.736862953800049,0.0,77.80210838488924,90.63628061494944,0.0,0.0,0.0,32.78,180.9027857751977,6.165295740242042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2303781950769,275.3322656794464,0.0,11.312601370183502,0.0,-4.709014478122943,-2.391853659833232,-19.94268965439535,-8.708469630915824,-33.47617295969586,0.0,0.3214285714285714,32,0,4,0,1,1,3,0,3,4,0,4,10,0,1,1,4,4.683200000000004,128.94850000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
CHEMBL607871,Clc1ccc([C@]23CNC[C@H]2[C@H]3COCC2CC2)cc1Cl,6.900008766455316,6.299997602857746,7.50003813440381,9.037469765684053,-4.087110378873773,9.037469765684053,0.4170085742630376,0.8982446153893079,312.2399999999996,293.088,311.0843695880005,108,0,0.1222394530228135,-0.380828739217868,0.380828739217868,0.1222394530228135,1.5,2.35,3.15,2.043970891166925,1259.4859334947123,30.74855866551393,28.61139083198228,11.123248724019184,17.03723380010874,14.930639954473008,6.239355304991504,4.144560887482093,4.900489833500548,2.98469463612926,3.648373394852772,1.899464560881985,2.1356923565127515,-0.2800000000000001,85408066.16328873,3.970361033562562,4.876113954426724,2.086996422032943,156.08576680518033,10.046676307088424,1.4118420783282006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.24429848812833,54.57287145008751,33.54917951450143,26.19956176359048,30.822359043192204,23.20187978046503,0.0,5.309813353288375,17.681873056089238,18.160840272055538,26.111689854464466,33.73597424216953,0.0,0.0,5.309813353288375,0.0,0.0,23.20187978046503,26.111689854464466,10.151853423196828,17.681873056089238,42.982955305419736,18.127256122989884,11.457108705810851,0.0,0.0,21.26,101.00019077806716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.02423882365729,161.42401211623775,11.860997946286776,0.0,-1.8822032533296964,-4.561557198496683,-10.68429000708921,-3.199531422436589,-6.475717182215198,-15.259488776734983,0.0,0.625,20,1,2,2,1,3,1,0,1,2,1,4,5,2,1,3,4,3.5070000000000023,81.53270000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
CHEMBL3913012,CN1Cc2ccccc2C(c2ccc3[nH]ncc3c2)C1Cl,8.585026652029182,7.939302159646388,7.671620396561262,9.384448223733935,-3.5849505542957942,9.384448223733935,0.2573003275384224,0.5484150134584064,297.78899999999965,281.66099999999994,297.1032751920004,106,0,0.1900630341987545,-0.2854299791227797,0.2854299791227797,0.1900630341987545,1.5238095238095235,2.4285714285714284,3.333333333333333,2.3649762653306383,1495.1388081130483,28.36736081903093,26.219605259509105,10.975534205527556,16.661366477869905,13.704229820754469,6.134980698263736,4.148433734725074,4.50644682217539,2.9182286364125885,3.276241723862906,1.9933869689954664,2.2246269182365057,-1.84,47778871.63395351,4.339207925143608,4.86319145685429,2.044681184534386,150.62204566372725,0.0,0.0,1.4118420783282006,0.0,0.0,0.0,9.991616288433558,0.0,5.098681808301038,11.600939890232516,30.21209353831648,35.75101879069982,26.001592921165138,29.503497224356973,21.973220420881496,22.503864822313574,0.0,15.090298096734596,0.0,17.867891660073,6.975826900282246,65.1601806395488,0.0,0.0,0.0,0.0,0.0,11.600939890232516,27.54319928741082,6.496859684315945,0.0,43.14569050300739,48.46982616445782,1.4118420783282006,10.902924932081056,0.0,31.92,100.90682413198508,1.3707585561702202,0.0,4.899909730850477,5.091706557583081,0.0,0.0,0.0,0.0,5.098681808301038,32.20340175494379,133.2691810375393,6.405429281795021,-0.2573003275384224,3.259184425683343,-7.01654555880994,-3.3105198097757613,-6.878512715539229,-0.7291597117241959,-6.963978843852358,0.0,0.2352941176470588,21,1,3,0,1,1,2,1,3,2,1,4,2,0,0,0,4,3.7051000000000025,85.48670000000003,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0
CHEMBL3799503,CN(C)CCCN1c2ccccc2CCc2ccc(C#CCOSCc3cccc4ccccc34)cc21,,,5.869938615760397,9.267336569969236,-4.70842489686722,9.267336569969236,0.408737228985228,0.1420621324198241,506.7149999999997,472.4430000000003,506.23918470800095,188,0,0.1222943378915772,-0.3409549793223778,0.3409549793223778,0.1222943378915772,1.0,1.8108108108108107,2.72972972972973,1.847606291561368,2943.818774523838,55.18483358529721,52.21092377192764,19.02742035285537,31.655871506395485,26.916555743630404,10.6581373674276,6.587431598398472,7.124889076963737,4.333627097673844,4.787751242905776,2.8477050805638005,3.209131522821082,-3.229999999999998,101551825057332.12,7.040411618058549,12.341119029209336,6.373734780071109,272.96933703709567,13.98290489435066,6.558985242916288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.30747442200754,97.20010588788617,53.81369462159423,21.93213689872352,50.78887634243723,34.18997965030388,0.0,4.899909730850477,0.0,24.823731589138298,38.40426814296315,106.84766787407416,0.0,11.840868637711289,4.899909730850477,11.374772549367124,0.0,12.042758672007166,38.40426814296314,22.633892120458626,11.840868637711289,75.23252177790488,84.59386190728614,0.0,10.772448428929591,0.0,15.71,209.16555698733,4.1122756685106605,0.0,0.0,0.0,0.0,0.0,5.920434318855644,5.920434318855644,0.0,46.67660067392656,294.4324441072462,-0.4834154114574043,-1.4411601539204053,-1.4238332156582465,-11.94096622342475,3.636523631816516,-16.870664231687492,-12.60924479933259,-21.04968370358193,0.0,0.2727272727272727,37,0,3,0,1,1,4,0,4,4,0,4,10,0,0,0,5,7.244700000000007,158.54199999999963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
CHEMBL3986502,CCOc1ccc(C2(C(CC(C)C)NCCSCC)CCC2)cc1,5.847100403606253,6.936666641048251,8.480172006224281,9.700200184240362,-5.5204321381330335,9.700200184240362,1.1573606486266903,0.550301099702954,349.58399999999943,314.3040000000001,349.243935740001,136,0,0.12253966053012,-0.4938897585457078,0.4938897585457078,0.12253966053012,1.4583333333333333,2.2916666666666665,3.0,3.6489086889966096,1721.5541604477132,47.95566544670048,46.763710176427686,12.58020675735541,25.22168521197625,23.460923771927643,6.830206757355411,3.911648103811719,4.5240205395075135,2.5441726966771068,2.839583934826566,1.5909123701616716,1.7332304993871823,-0.6700000000000002,87673944263.02419,3.304787111622228,9.719837957982218,4.920045009319807,201.91824525850865,10.046676307088424,7.161353911612106,0.0,0.0,0.0,0.0,0.0,0.0,11.761884949391115,0.0,39.01343866854301,55.21787029882064,62.01593907997876,14.783536579937609,52.75449594191577,11.761884949391115,0.0,5.309813353288375,5.893957685363079,64.33215101224665,24.46575869753255,29.733126322350174,0.0,5.749511833283905,10.046676307088424,0.0,5.749511833283905,11.761884949391115,30.4836511658822,5.414990469396779,5.893957685363079,105.0685104759846,24.16967483065318,1.4118420783282006,0.0,0.0,21.26,147.24620385345585,1.3707585561702202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,46.64687443194549,294.5553631342194,-1.1573606486266903,0.0,-1.5574846154026352,-15.561748209737411,-6.796500713297619,-13.359325087198693,-19.14735567935853,-25.89225484726457,0.0,0.7142857142857143,24,1,2,1,0,1,1,0,1,3,1,3,15,1,0,1,2,5.264400000000005,107.38470000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
