molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL399740,CN1C2CCC1[C@@H](COC(=O)CCCCCCC(=O)OC[C@@H]1C3CCC(C[C@@H]1c1ccc(Cl)c(Cl)c1)N3C)[C@@H](c1ccc(Cl)c(Cl)c1)C2,IC50,'=',11.0,nM
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,IC50,'=',47.0,nM
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,IC50,'=',1.09,nM
CHEMBL226984,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4cccc([N+](=O)[O-])c4)s2)N3C)cc1,IC50,'=',23.0,nM
CHEMBL229699,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(F)cc4)s2)N3C)cc1,IC50,'=',181.0,nM
CHEMBL471898,Cc1ccc([C@H]2CC3CCC([C@H]2c2onc(C)c2-c2ccc(F)cc2)N3C)cc1.Cl,IC50,'=',76.0,nM
CHEMBL464422,COc1ccc(F)cc1CCC1CCC(CCN)O1,IC50,'=',27850.0,nM
CHEMBL450907,COc1ccc(F)cc1CCCC1CCC(CCN)O1,IC50,'=',16987.0,nM
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,'=',19500.0,nM
CHEMBL256397,CC(C)N(C(=O)[C@@]1(c2ccccc2)CC1CN)C(C)C,IC50,'>',10000.0,nM
CHEMBL270240,CCN(CC)C(=O)C1(c2ccccc2)CC1CNCc1cccnc1,IC50,'>',10000.0,nM
CHEMBL171106,COC(=O)C1C(c2cccc(Br)c2)CC2CCC1N2C,IC50,'=',7.93,nM
CHEMBL259209,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',6100.0,nM
CHEMBL2096858,COC(=O)[C@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,IC50,'=',25.0,nM
CHEMBL567479,CC(C)(C)NC(CCC1CCCCC1)C(=O)c1cccc(Cl)c1,IC50,'>',10000.0,nM
CHEMBL589494,Cc1cccc(C(=O)C(C)N2CCCCC2)c1,IC50,'=',414.0,nM
CHEMBL563495,Clc1cccc(OC(c2ccccn2)[C@H]2CCNC2)c1Cl,IC50,'=',1060.0,nM
CHEMBL607377,COC(=O)C1C2CC[C@H](C[C@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,IC50,'=',2040.0,nM
CHEMBL130477,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCCN21,IC50,'=',4.2,nM
CHEMBL322605,COC(=O)[C@@H]1C2CCC(C2)CC1c1ccc2ccccc2c1,IC50,'=',25.0,nM
CHEMBL123252,CN(CCCc1ccccc1)CCCN(C)CCOC(c1ccccc1)c1ccccc1,IC50,'=',237.0,nM
CHEMBL2407319,CSCC(c1ccc(Cl)c(Cl)c1)C1CCNCC1.Cl,IC50,'=',79.0,nM
CHEMBL605501,CC(NC1CCCC1)C(=O)c1cccc(F)c1,IC50,'=',693.0,nM
CHEMBL432571,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2[C@@H](O)CC1N2C,IC50,'=',55.1,nM
CHEMBL103936,COC(=O)c1ccccc1-c1ccc2ccccc2c1,IC50,'=',145.0,nM
CHEMBL1830875,CNC[C@H](CCN1c2ccccc2N(c2ccccc2)S1(=O)=O)OC,IC50,'=',1035.0,nM
CHEMBL1830885,O=S1(=O)N(CC[C@@H]2CNCCO2)c2ccccc2N1c1ccccc1F,IC50,'=',2190.0,nM
CHEMBL540107,CCOc1ccccc1C[C@@H](c1ccccc1)N1CCNCC1.Cl,IC50,'>',4000.0,nM
CHEMBL598614,CNC[C@@H](O)[C@H](c1cccc(F)c1)N1CC(C)(C)c2cccc(F)c21.Cl,IC50,'=',22834.0,nM
CHEMBL113136,CN(C)C[C@H]1C2CCC(CC2)[C@@H]1c1cccc(Cl)c1,IC50,'=',165.0,nM
CHEMBL2204341,COc1ccc(C(CN(C)C)[Si]2(O)CCCCC2)cc1,IC50,'=',2630.0,nM
CHEMBL119561,,IC50,'=',3.8,nM
CHEMBL536352,CCC(C)C(=O)[C@]12C(=O)[C@](CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C(=O)C(CC=C(C)C)=C2O,IC50,'=',2000.0,nM
CHEMBL1829335,C[C@@H]1CCCN1CCCOc1ccc(-c2ccc(=O)[nH]n2)cc1,IC50,'=',9400.0,nM
CHEMBL132082,COc1ccc2c(c1)C(O)(c1ccc(Cl)cc1)N1CCN=C21,IC50,'=',13.3,nM
CHEMBL1684050,CC(N)C1(c2ccc3ccccc3c2)CCCCC1,IC50,'=',66.0,nM
CHEMBL81525,COC(=O)C1C2CCC(CC1c1ccc(Cl)cc1)N2,IC50,'=',1.43,nM
CHEMBL637,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,IC50,'=',7340.0,nM
CHEMBL512130,c1ccc2cc(CN(C3CCC3)C3CCNCC3)ccc2c1,IC50,'=',210.0,nM
CHEMBL796,COC(=O)C(c1ccccc1)C1CCCCN1,IC50,'=',79.0,nM
CHEMBL220247,CC(C)CC(c1ccc(Cl)cc1)C1CCCCN1,IC50,'=',8.6,nM
CHEMBL219281,Clc1ccc(C(CCc2ccccc2)C2CCCCN2)cc1,IC50,'=',160.0,nM
CHEMBL374769,CC(C)(C)CC(c1ccc(Cl)cc1)C1CCCCN1,IC50,'=',60.0,nM
CHEMBL373710,CC(C)CCC(c1ccc(Cl)cc1)C1CCCCN1,IC50,'=',14.0,nM
CHEMBL220247,CC(C)CC(c1ccc(Cl)cc1)C1CCCCN1,IC50,'=',380.0,nM
CHEMBL376852,CCC(c1ccc(Cl)cc1)C1CCCCN1,IC50,'=',2800.0,nM
CHEMBL497666,CNC[C@@H]1Cc2ccccc2[C@@H]1Oc1ccc(C(F)(F)F)cc1,IC50,'>',10000.0,nM
CHEMBL124854,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2Cc1ccccc1,IC50,'=',223.0,nM
CHEMBL27336,CC[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,IC50,'=',3.5,nM
CHEMBL1684049,CC(N)C1(c2cccc3ccccc23)CCCCC1,IC50,'=',4000.0,nM
CHEMBL1684055,CC(N(C)C)C1(c2ccc3ccccc3c2)CCCCC1,IC50,'=',28.0,nM
CHEMBL363510,COC(=O)C1=C(c2ccc(F)cc2)CC2CCC1S2,IC50,'=',220.0,nM
CHEMBL184867,COC(=O)C1=C(c2ccccc2)CC2CCC1O2,IC50,'>',10000.0,nM
CHEMBL186488,COC(=O)C1=C(c2ccc(Br)cc2)CC2CCC1O2,IC50,'=',62.0,nM
CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,IC50,'=',11.0,nM
