compound_id,base_rdkit_smiles,relation,avg_pKi
CHEMBL2113217,C#CCC(C(=O)c1ccc(C)cc1)N1CCCC1,,5.636388020107856
CHEMBL220765,C#CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1,,6.20690839982342
CHEMBL1945248,C#CCN1[C@H]2CC[C@@H]1[C@@H](C(=O)OC)[C@@H](c1ccc(I)cc1)C2,,7.849857838151442
CHEMBL1479,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,,5.2647205519395435
CHEMBL691,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,6.35261702988538
CHEMBL330666,C#Cc1ccc(C2CN3CCCC3c3ccccc32)cc1,,8.2839966563652
CHEMBL286312,C#Cc1ccc([C@@H]2CN3CCC[C@@H]3c3ccccc32)cc1,,8.795880017344075
CHEMBL394158,C#Cc1ccc([C@@H]2C[C@H]3CC[C@@H](N3)[C@H]2C(=O)OC)cc1,,8.645891560852599
CHEMBL4227753,C#Cc1ccc([C@H]2CN3CCC[C@H]3c3ccccc32)cc1,,7.129011186239425
CHEMBL43064,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,5.884722408604098
CHEMBL232498,C/C=C/C1=C(c2ccc(Cl)c(Cl)c2)CCCC1,,4.667679012221937
CHEMBL1945246,C/C=C/CN1[C@H]2CC[C@@H]1[C@@H](C(=O)OC)[C@@H](c1ccc(I)cc1)C2,,7.819874124835946
CHEMBL2326690,C1=CCC(c2cc3ccccc3o2)CNC1,,7.638272163982407
CHEMBL2322001,C1=CCC(c2ccc3ccccc3c2)CNC1,,8.0
CHEMBL2432039,C1C2C3CC4C2C2C1C3[C@H](NCC13C5C6C7C5C1C7C63)C42,,6.899629454882437
CHEMBL2030626,C1CC2CCC1N2CC12C3C4C5C3C1C5C42,<,5.0
CHEMBL1945247,C=C(Br)CN1[C@H]2CC[C@@H]1[C@@H](C(=O)OC)[C@@H](c1ccc(I)cc1)C2,,7.519993057042849
CHEMBL467585,C=C(CCN1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1,,7.7447274948966935
CHEMBL467757,C=C(CCN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1)c1ccccc1,,7.522878745280337
CHEMBL466538,C=C(Cc1ccccc1)CN1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,,7.0
CHEMBL466733,C=C(Cc1ccccc1)CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,,6.3872161432802645
CHEMBL212452,C=C1CN2C3CCC2C1C(c1ccc(Br)cc1)C3,,7.377578726024329
CHEMBL377785,C=C1CN2C3CCC2C1C(c1ccc(C)cc1)C3,,7.387322081683498
CHEMBL378536,C=C1CN2C3CCC2C1C(c1ccc(Cl)cc1)C3,,7.911863911299449
CHEMBL380383,C=C1CN2C3CCC2C1C(c1ccc(I)cc1)C3,,8.071604147743287
CHEMBL202410,C=CCC(C(=O)c1ccc(C)cc1)N1CCCC1,,7.043351420794797
CHEMBL202348,C=CCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,,7.399027104313252
CHEMBL1173087,C=CCC(OC)[C@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,8.849972501669184
CHEMBL3754166,C=CCN(CC=C)CCc1c[nH]c2ccc(Br)cc12,,5.59999938302362
CHEMBL3753318,C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12,,5.499999678657065
CHEMBL3752900,C=CCN(CC=C)CCc1c[nH]c2ccc(Cl)cc12,,6.0999990348465305
CHEMBL3754496,C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,,5.700000503883016
CHEMBL2391541,C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,,5.005733345062306
CHEMBL3752576,C=CCN(CC=C)CCc1c[nH]c2ccccc12,,5.899998417198648
CHEMBL218262,C=CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1,,6.527243550682788
CHEMBL221903,C=CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cccc(C(C)=O)c1,,6.068033885271827
CHEMBL365812,C=CCNCc1ccccc1Sc1ccc(C)cc1N,,5.536405597812999
CHEMBL190703,C=Cc1ccc(Sc2ccccc2CN(C)C)c(N)c1,,6.016824927962187
CHEMBL394157,C=Cc1ccc([C@@H]2C[C@H]3CC[C@@H](N3)[C@H]2C(=O)OC)cc1,,7.996108833763089
CHEMBL1173753,CC#CNC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,6.799998134593398
CHEMBL204538,CC#Cc1ccc(C(=O)C(CCC)N2CCCC2)cc1,,7.214670164989233
CHEMBL219540,CC(=O)C(c1ccccc1)C1CCCCN1,,6.431798275933005
CHEMBL376737,CC(=O)CN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1,,6.122628654130226
CHEMBL2170610,CC(=O)N1CCC(c2ccc(C(=O)NC(=N)N)cc2C(F)(F)F)CC1,,5.811533689377039
CHEMBL4540759,CC(=O)N1CCC(c2ccc(C(=O)NC3=NCCN3)cc2C(F)(F)F)CC1,,6.089030379248893
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,,4.728506897814343
CHEMBL204232,CC(=O)Nc1c(C(C)=O)c(=O)n(C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,,6.097453220686009
CHEMBL4764284,CC(=O)Nc1cc(NC(=O)NCCCCC(c2ccc(F)cc2)c2ccc(F)cc2)ccc1Cl,,6.215382707367125
CHEMBL209821,CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2)c1,<,5.698970004336019
CHEMBL942,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,,5.755722879198157
CHEMBL1062,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,,5.26074419673149
CHEMBL1173754,CC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,8.400007822415901
CHEMBL4578164,CC(=O)c1c(NS(C)(=O)=O)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2n(C)c1=O,,6.107885132606963
CHEMBL217987,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2)cc(C(C)=O)c1,,6.924453038607469
CHEMBL220766,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2C(=N)N)cc(C(C)=O)c1,,7.508638306165727
CHEMBL383879,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2C(C)=O)cc(C(C)=O)c1,,5.912218582190458
CHEMBL386493,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CC(F)F)cc(C(C)=O)c1,,6.031050319018657
CHEMBL385607,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CC(N)=O)cc(C(C)=O)c1,,5.5752816626684325
CHEMBL384199,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CCCO)cc(C(C)=O)c1,,6.215382707367125
CHEMBL220713,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CCF)cc(C(C)=O)c1,,6.186419011431808
CHEMBL218568,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CCO)cc(C(C)=O)c1,,6.345823458122039
CHEMBL219048,CC(=O)c1cccc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2)c1,,6.6595558851598815
CHEMBL218174,CC(=O)c1cccc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2C)c1,,7.017728766960431
CHEMBL220819,CC(=O)c1cccc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CC2CC2)c1,,6.600326278518962
CHEMBL220801,CC(=O)c1cccc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CCO)c1,,5.649751981665837
CHEMBL218581,CC(=O)c1cccc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccccc3)CCN2)c1,,7.494850021680094
CHEMBL250689,CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)c1,,6.309803919971486
CHEMBL249854,CC(=O)c1sc(NC(=O)N[C@@H]2CN(C(C)=O)CC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)nc1C,,5.187086643357144
CHEMBL566830,CC(C(=O)c1cccc(Cl)c1)N(C)C,,5.383734594718292
CHEMBL578612,CC(C(=O)c1cccc(Cl)c1)N(C)C(C)(C)C,,5.1938200260161125
CHEMBL566420,CC(C(=O)c1cccc(Cl)c1)N1CCCCC1,,5.940058111938045
CHEMBL221753,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,,5.964570261815451
CHEMBL374769,CC(C)(C)CC(c1ccc(Cl)cc1)C1CCCCN1,,6.5713337517843655
CHEMBL1224241,CC(C)(C)CCC1(C(=O)c2cc(Cl)c(Cl)s2)CCNC1,,8.700057099977233
