molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL154297,Cc1cc2ccccc2n1Nc1ccncc1,IC50,'=',3600.0,nM
CHEMBL1830884,O=S1(=O)N(CCC2CCCNC2)c2ccccc2N1c1ccccc1,IC50,'=',30.0,nM
CHEMBL1830883,CN1CCOC(CN2c3ccccc3N(c3ccccc3)S2(=O)=O)C1,IC50,'=',2304.0,nM
CHEMBL1830880,O=S1(=O)N(CC2CNCCO2)c2ccccc2N1c1ccccc1,IC50,'=',74.0,nM
CHEMBL1830876,CNC[C@@H](CCN1c2ccccc2N(c2ccccc2)S1(=O)=O)OC,IC50,'=',13.0,nM
CHEMBL1830876,CNC[C@@H](CCN1c2ccccc2N(c2ccccc2)S1(=O)=O)OC,IC50,'=',27.0,nM
CHEMBL1082458,CNC[C@@H](O)CCN1c2ccccc2N(c2ccccc2F)S1(=O)=O,IC50,'=',4.0,nM
CHEMBL1830890,O=S1(=O)N(CCC2CNCCO2)c2cc(F)ccc2N1c1ccccc1F,IC50,'=',14.0,nM
CHEMBL1830892,O=S1(=O)N(CCC2CNCCO2)c2cccc(F)c2N1c1ccccc1F,IC50,'=',7.0,nM
CHEMBL1830892,O=S1(=O)N(CCC2CNCCO2)c2cccc(F)c2N1c1ccccc1F,IC50,'=',13.0,nM
CHEMBL2380975,CNC[C@@H]1CCC[C@H]1c1ccc2[nH]cc(C#N)c2c1,IC50,'=',3700.0,nM
CHEMBL589494,Cc1cccc(C(=O)C(C)N2CCCCC2)c1,IC50,'=',577.0,nM
CHEMBL295467,CNCCC(Oc1ccccc1OC)c1ccccc1,IC50,'=',7.943,nM
CHEMBL218848,CC(C)C(c1ccc(Cl)cc1)C1CCCCN1,IC50,'=',51.0,nM
CHEMBL498680,CNC[C@@H]1SCc2ccccc2[C@@H]1Oc1ccccc1Cl,IC50,'=',140.0,nM
CHEMBL497666,CNC[C@@H]1Cc2ccccc2[C@@H]1Oc1ccc(C(F)(F)F)cc1,IC50,'=',880.0,nM
CHEMBL456223,COc1ccc(F)cc1CC[C@@H]1CC[C@H](CN)O1,IC50,'=',4746.0,nM
CHEMBL1684045,CNC(C)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,IC50,'=',57.0,nM
CHEMBL1684055,CC(N(C)C)C1(c2ccc3ccccc3c2)CCCCC1,IC50,'=',21.0,nM
CHEMBL1684043,CCC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,IC50,'=',120.0,nM
CHEMBL1684049,CC(N)C1(c2cccc3ccccc23)CCCCC1,IC50,'=',4000.0,nM
CHEMBL1684050,CC(N)C1(c2ccc3ccccc3c2)CCCCC1,IC50,'=',330.0,nM
CHEMBL1684052,CC(N)C1(c2ccc(OC(C)(C)C)cc2)CCCCC1,IC50,'=',5000.0,nM
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,IC50,'=',462.0,nM
CHEMBL1643519,CN(C)[C@H]1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,IC50,'=',3091.0,nM
CHEMBL3334793,CN(C)CCC(c1cc2ccccc2s1)N1CCOCC1,IC50,'=',1456.3,nM
CHEMBL3334801,COc1ccc2cc(C(CCN(C)C)N3CCCC3)ccc2c1Cl,IC50,'=',373.5,nM
CHEMBL2430682,O=C1NCC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,IC50,'=',1662.0,nM
CHEMBL2430685,O=C1NCC(c2ccc(Cl)cc2)C1c1ccc(Cl)c(Cl)c1,IC50,'=',1900.0,nM
CHEMBL2430699,O=C1NCC(c2ccc(Cl)c(Cl)c2)C1c1ccc2ccccc2c1,IC50,'=',482.9,nM
CHEMBL3323185,CN1Cc2cc(N3CCCCC3)ccc2C(c2cc3ccccc3s2)C1,IC50,'=',110.0,nM
CHEMBL3819009,Cl.O=c1[nH]c(-c2ccn(C[C@@H]3CNCCO[C@H]3c3ccc(Cl)c(F)c3)c(=O)c2)no1,IC50,'=',1.9,nM
CHEMBL637,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,IC50,'=',5722.0,nM
CHEMBL115444,O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC(n2c(O)nc3ccccc32)CC1,IC50,'=',3020.0,nM
CHEMBL562115,COC(=O)[C@H]1[C@@H](c2ccc(C)cc2)C[C@@H]2CC[C@H]1N2CC#CCF,IC50,'=',31.04,nM
CHEMBL1684044,CC(C)CC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,IC50,'=',890.0,nM
CHEMBL256020,NCC1CC1(C(=O)N1CCCCC1)c1ccccc1,IC50,'=',170.0,nM
CHEMBL256646,CCN(Cc1ccccc1)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',200.0,nM
CHEMBL272530,CCN(C(=O)C1(c2ccccc2)CC1CN)C(C)(C)C,IC50,'=',8000.0,nM
CHEMBL269799,CCN(C)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',1400.0,nM
CHEMBL450623,NCC1CC1(C(=O)NC1CC1)c1ccccc1,IC50,'>',10000.0,nM
CHEMBL401976,CCN(CC)C(=O)[C@@]1(c2ccccn2)C[C@H]1CN,IC50,'=',1500.0,nM
CHEMBL303266,CN1C2CCC1C(C(=O)NCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,IC50,'=',266.0,nM
CHEMBL668,CNCCCC1c2ccccc2C=Cc2ccccc21,IC50,'=',2.8,nM
CHEMBL321067,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@@](O)(c2ccccc2)CN43)cc1,IC50,'=',11.0,nM
CHEMBL218849,CCCCC(c1ccc(Cl)cc1)C1CCCCN1,IC50,'=',180.0,nM
CHEMBL1175,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,IC50,'=',4.0,nM
CHEMBL1095523,OC1(C(CN2CCNCC2)c2cc(Cl)sc2Cl)CCCCC1,IC50,'=',225.0,nM
CHEMBL1097470,OC1(C(CN2CCNCC2)c2cc3ccccc3s2)CCCCC1,IC50,'=',550.0,nM
CHEMBL111128,CNC[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,IC50,'=',28.0,nM
CHEMBL258063,CNCc1cc(C#N)ccc1Oc1ccc(Cl)cc1Cl,IC50,'>',400.0,nM
CHEMBL402851,CN(C)Cc1ccccc1Oc1ccccc1Cl,IC50,'=',15.0,nM
CHEMBL566000,CC(NC(C)(C)C)C(=O)c1ccc(Cl)cc1,IC50,'=',2070.0,nM
CHEMBL605501,CC(NC1CCCC1)C(=O)c1cccc(F)c1,IC50,'=',2850.0,nM
CHEMBL469476,Cl.Cl.OC1(C(CN2CCNCC2)c2cccc(OC(F)(F)F)c2)CCCCC1,IC50,'=',284.0,nM
CHEMBL459852,CN1CCN(C[C@@H](c2cccc(Cl)c2)C2(O)CCCCC2)CC1.Cl.Cl,IC50,'=',577.0,nM
CHEMBL72,CNCCCN1c2ccccc2CCc2ccccc21,IC50,'=',3.4,nM
CHEMBL469809,c1ccc2cc(CO[C@@H]3CCNC3)ccc2c1,IC50,'=',1200.0,nM
CHEMBL506397,N#Cc1ccc2cc(OC[C@@H]3CCNC3)ccc2c1,IC50,'=',772.0,nM
CHEMBL471036,c1ccc2cc(COC3CCNCC3)ccc2c1,IC50,'=',6500.0,nM
CHEMBL488638,Clc1ccc([C@@]23CNC[C@@H]2C3)cc1Cl,IC50,'=',103.0,nM
CHEMBL1201066,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,IC50,'=',2553.0,nM
CHEMBL2113279,COc1ccc(-c2cnc([C@H]3[C@@H](c4ccc(C)cc4)C[C@@H]4CC[C@H]3N4C)s2)cc1OC,IC50,'>',6900.0,nM
CHEMBL77675,N=C(Nc1ccccc1)Nc1ccccc1,IC50,'=',1152.0,nM
CHEMBL1683888,CN(C)CC1(c2ccc(Cl)c(F)c2)CCCCC1,IC50,'=',26.0,nM
CHEMBL1683884,CN(C)CC1(c2ccc(Cl)cc2)CCCCC1,IC50,'=',51.0,nM
CHEMBL1683870,CNCC1(c2ccc(Cl)c(Cl)c2)CCCCC1,IC50,'=',85.0,nM
CHEMBL1683893,CN(C)CC1(c2cccc(F)c2)CCCCC1,IC50,'=',146.0,nM
CHEMBL1683885,CNCC1(c2ccc(Cl)cc2)CCCCC1,IC50,'=',326.0,nM
CHEMBL316862,CN(C)CC(c1ccccc1Cl)C1(O)CCCCC1,IC50,'=',205.0,nM
CHEMBL2338045,Fc1cc(F)c(Cl)c(O[C@@H](c2ccccc2)[C@H]2CCNC2)c1Cl,IC50,'=',0.7943,nM
CHEMBL2338044,Fc1ccc(F)c(O[C@@H](c2ccccc2)[C@H]2CCNC2)c1F,IC50,'=',0.631,nM
CHEMBL524313,CNC[C@@H]1OCc2ccccc2[C@@H]1Oc1ccc(O)cc1C,IC50,'=',8.0,nM
CHEMBL295467,CNCCC(Oc1ccccc1OC)c1ccccc1,IC50,'=',20.0,nM
CHEMBL3310478,Fc1ccc(OC(CC2CNC2)c2ccc(Cl)c(Cl)c2)cc1,IC50,'=',33.7,nM
CHEMBL3310483,Fc1cc(C(CC2CNC2)Oc2cccc(Cl)c2)ccc1Cl,IC50,'=',30.0,nM
CHEMBL1095524,OC1(C(CN2CCNCC2)c2ccsc2Cl)CCCCC1,IC50,'=',720.0,nM
CHEMBL1097148,CN1CCN(CC(c2csc(Cl)c2)C2(O)CCCCC2)CC1,IC50,'=',95.0,nM
CHEMBL1099178,CN1CCN(C[C@@H](c2csc(Cl)c2)C2(O)CCCCC2)CC1,IC50,'=',18000.0,nM
CHEMBL380758,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)OC)cc21,IC50,'=',1250.0,nM
CHEMBL206599,CNC(=O)c1ccc2c(c1)[C@H](c1ccc(Cl)c(Cl)c1)CC[C@@H]2NC,IC50,'=',5000.0,nM
CHEMBL382241,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc([S+](C)[O-])ccc21,IC50,'=',1800.0,nM
CHEMBL288826,O=C(NCCCN1CCC(Cc2ccccc2)CC1)C(c1ccccc1)c1ccccc1,IC50,'=',2210.0,nM
CHEMBL4073400,Fc1ccc(C(OCCN2CCC(Cc3ccccc3)CC2)c2ccc(F)cc2)cc1,IC50,'=',5860.0,nM
CHEMBL637,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,IC50,'=',2708.0,nM
CHEMBL549761,CCOc1ccccc1OC(c1cccnc1)C1CCNCC1,IC50,'=',13.0,nM
CHEMBL563987,Fc1cccc(OC(c2cccnc2)C2CCNCC2)c1F,IC50,'=',24.0,nM
CHEMBL556268,Cc1ccc(C(Oc2cccc(Cl)c2Cl)C2CCNCC2)nc1,IC50,'=',48.0,nM
CHEMBL1813315,CN1C[C@@H]2CCCC[C@]2(c2ccc(Cl)c(Cl)c2)C1,IC50,'=',141.25,nM
CHEMBL1813316,CCN1C[C@H]2CCCC[C@@]2(c2ccc(Cl)c(Cl)c2)C1,IC50,'=',26.92,nM
CHEMBL1813470,CN1C[C@H]2CCCC[C@@]2(c2ccc3ccccc3c2)C1,IC50,'=',537.03,nM
CHEMBL1813472,Clc1ccc([C@@]23CCCC[C@@H]2CNC3)cc1Cl,IC50,'=',204.17,nM
CHEMBL1813476,c1ccc2cc([C@]34CCC[C@H]3CNC4)ccc2c1,IC50,'=',14.13,nM
