molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL402851,CN(C)Cc1ccccc1Oc1ccccc1Cl,IC50,'=',282.0,nM
CHEMBL256816,CNCc1ccccc1Oc1ccc(Cl)cc1Cl,IC50,'=',56.0,nM
CHEMBL399740,CN1C2CCC1[C@@H](COC(=O)CCCCCCC(=O)OC[C@@H]1C3CCC(C[C@@H]1c1ccc(Cl)c(Cl)c1)N3C)[C@@H](c1ccc(Cl)c(Cl)c1)C2,IC50,'=',31.0,nM
CHEMBL2114227,COC(=O)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)C2CC(=O)C1N2C,IC50,'=',290.0,nM
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,'=',10.0,nM
CHEMBL467512,CNC[C@@H](O)[C@H](c1ccccc1)N(C)c1cccc(OC)c1,IC50,'=',17.0,nM
CHEMBL506874,CNC[C@@H](O)[C@H](c1ccccc1)N(C)c1cccc2ccccc12,IC50,'=',836.0,nM
CHEMBL247733,Cc1cccc(CN(C2CCOCC2)[C@H]2CCNC2)c1C,IC50,'=',9.0,nM
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,IC50,'=',58.0,nM
CHEMBL226984,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4cccc([N+](=O)[O-])c4)s2)N3C)cc1,IC50,'=',2380.0,nM
CHEMBL375685,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(Br)cc4)s2)N3C)cc1,IC50,'=',1840.0,nM
CHEMBL388612,CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc(Cl)c(Cl)c3)s1)[C@@H](c1ccc(Cl)cc1)C2,IC50,'=',5300.0,nM
CHEMBL227232,CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc([N+](=O)[O-])cc3)s1)[C@@H](c1ccc(Cl)cc1)C2,IC50,'=',3600.0,nM
