molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL387104,O=C1CSC(c2ccc(Cl)c(Cl)c2)N1OCc1ccccc1,IC50,'=',463.0,nM
CHEMBL3261431,Nc1nc(/C=C/CNC(=O)c2cc3cc(F)ccc3[nH]2)c[nH]1,IC50,'>',30000.0,nM
CHEMBL4438854,c1ccc([C@H]([C@@H](c2ccccn2)N2CCCCC2)N2CCCCC2)nc1,IC50,'=',2200.0,nM
CHEMBL480807,CCCN(CCC)C(=O)C1=C(C)Nc2ccnn2C1c1ccc(Cl)c(Cl)c1,IC50,'=',70.0,nM
CHEMBL583857,CC1=C(c2nc3cccc(C)c3[nH]2)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,IC50,'=',150.0,nM
CHEMBL3730396,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCN(CCn3ccc4occc4c3=O)Cc3ccc(C)nc3C)ccc21.Cl.Cl,IC50,'=',760.0,nM
CHEMBL3730685,CCCc1ncccc1CN(CCCOc1ccc2c(c1)N(C)C(=O)C(C)(C)C(=O)N2CC)CCn1ccc2oc(C)cc2c1=O.Cl.Cl,IC50,'=',310.0,nM
CHEMBL3728819,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(OCCCN(CCn3ccc4sccc4c3=O)Cc3cccnc3)ccc21,IC50,'=',420.0,nM
CHEMBL3785486,CCCCNC(=O)C1c2ccccc2C(=O)N1CC(C)c1ccc(Cl)cc1,IC50,'=',700.0,nM
CHEMBL2332456,COc1ccccc1-n1ncnc1C1=C(C)Nc2ccnn2[C@@H]1c1ccc(Cl)c(Cl)c1,IC50,'=',116.0,nM
CHEMBL2107383,COc1ccc(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)cc1OC.Cl,IC50,'=',3200.0,nM
CHEMBL301692,COc1ccc(-c2cc(=O)c3cc(Cl)ccc3o2)cc1,IC50,'=',23500.0,nM
CHEMBL2440387,COc1ccc2c(c1)c(/C=N/NS(=O)(=O)c1ccc(C)cc1)cn2CC(=O)Nc1ccc(Cl)cc1,IC50,'=',510.0,nM
CHEMBL2440385,CCC(=O)Oc1ccc(NC(=O)Cn2cc(/C=N/NS(=O)(=O)c3ccc(C)cc3)c3ccccc32)cc1,IC50,'=',2140.0,nM
CHEMBL2440384,Cc1ccc(S(=O)(=O)N/N=C/c2cn(CC(=O)Nc3ccc(F)cc3F)c3ccccc23)cc1,IC50,'=',250.0,nM
CHEMBL2440383,Cc1ccc(S(=O)(=O)N/N=C/c2cn(CC(=O)Nc3ccccc3Cl)c3ccccc23)cc1,IC50,'=',740.0,nM
CHEMBL2440391,CCCCOc1ccc(S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)cc1,IC50,'=',65420.0,nM
CHEMBL585163,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(C)c(C)c2)cc1,IC50,'=',610.0,nM
CHEMBL571952,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(OC(C)C)cc2)cc1,IC50,'=',240.0,nM
CHEMBL319775,Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NC(c2ccccc2)C2CC2)cc1,IC50,'=',1600.0,nM
CHEMBL3785865,Cc1c(O)ccc2c1C(=O)N(Cc1ccccc1-c1ccccc1)C2C(=O)NC(C)(C)C,IC50,'=',3200.0,nM
CHEMBL3785335,CC(C)(C)NC(=O)C1c2ccccc2C(=O)N1Cc1ccc(F)cc1-c1ccccc1,IC50,'=',800.0,nM
CHEMBL3785427,CC(C)(CN1C(=O)c2ccccc2C1C(=O)NCC(F)F)c1ccc(F)cc1,IC50,'=',1200.0,nM
CHEMBL4088894,Nc1cccc(C(Cc2cccnc2-c2cccc(C(F)(F)F)c2)c2cccnc2)n1,IC50,'=',56.0,nM
CHEMBL4094570,OC(c1cccnc1-c1cccc(Cl)c1)C(c1cccnc1)c1ncco1,IC50,'=',276.0,nM
CHEMBL1090794,OC(c1cccnc1)(c1cccnc1)C(c1ccccc1)N1CCOCC1,IC50,'=',256.0,nM
CHEMBL3127398,CN1C(=O)CC[C@H]1CN(Cc1ccc(F)cc1)S(=O)(=O)c1cccc(C#N)c1,IC50,'=',810.0,nM
CHEMBL3786255,CC(c1ccccc1)N1C(=O)c2ccccc2C1C(=O)NCc1ccccc1,IC50,'=',6000.0,nM
CHEMBL3786542,CC(C)(C)NC(=O)C1c2ccccc2C(=O)N1Cc1ccccc1-c1ccccc1,IC50,'=',3400.0,nM
CHEMBL3786093,CC(C)(C)NC(=O)C1c2cc(Cl)ccc2C(=O)N1C(c1cccnc1)c1cccnc1,IC50,'>',32000.0,nM
CHEMBL3785555,COc1ccc2c(c1)C(=O)N(Cc1ccccc1-c1ccccc1)C2C(=O)NC(C)(C)C,IC50,'=',11300.0,nM
CHEMBL3786868,CC(C)(C)NC(=O)C1c2cc(C#N)ccc2C(=O)N1Cc1ccccc1-c1ccccc1,IC50,'=',3300.0,nM
CHEMBL3786519,CC(C)(C)NC(=O)C1c2ccccc2C(=O)N1Cc1ccc(F)cc1-c1ccc(F)cc1,IC50,'=',1400.0,nM
CHEMBL2331983,CC1=C(c2ncnn2C2CCC(C(F)(F)F)CC2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nc(C(F)(F)F)cc2N1,IC50,'=',133.0,nM
CHEMBL2332449,CCOc1cccc(-n2ncnc2C2=C(C)Nc3cc(C(F)(F)F)nn3[C@@H]2c2ccc(Cl)c(Cl)c2)n1,IC50,'=',223.0,nM
CHEMBL2332448,COc1cccc(-n2ncnc2C2=C(C)Nc3cc(C(F)(F)F)nn3[C@@H]2c2ccc(Cl)c(Cl)c2)n1,IC50,'=',87.0,nM
CHEMBL2332447,CC1=C(c2ncnn2-c2cccc(C)n2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nc(C(F)(F)F)cc2N1,IC50,'=',211.0,nM
CHEMBL2331998,CC1=C(c2ncnn2C2CCC2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nc(C(C)(C)C)cc2N1,IC50,'=',283.0,nM
CHEMBL2331996,CC1=C(c2ncnn2C2CCC2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nc(C)cc2N1,IC50,'=',94.0,nM
CHEMBL2331992,CC1=C(c2ncnn2CC(F)(F)F)[C@@H](c2ccc(Cl)c(Cl)c2)n2nccc2N1,IC50,'=',200.0,nM
CHEMBL2331987,CC1=C(c2ncnn2C2CCCCC2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nccc2N1,IC50,'=',59.0,nM
CHEMBL228813,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(C(=O)N(CC)[C@@H]4CCN(Cc5ccccc5)C4)ccc3OC(C)(C)[C@H]2O)cc1,IC50,'=',210.0,nM
CHEMBL389096,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(C(=O)N(CC)[C@H]4CCN(Cc5ccccc5)C4)ccc3OC(C)(C)[C@H]2O)cc1,IC50,'=',170.0,nM
CHEMBL231203,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)c4cccc(OC)c4)ccc3OC(C)(C)[C@H]2O)cc1,IC50,'=',290.0,nM
CHEMBL98077,Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)N(CCCn2ccnc2)Cc2ccccc2)cc1,IC50,'=',8500.0,nM
CHEMBL3127410,O=C1CC[C@@H](CN(Cc2ccc(F)cc2)S(=O)(=O)c2cccc(F)c2)N1,IC50,'=',7200.0,nM
CHEMBL3622355,COc1cccc2c1C(NC[C@]1(c3ccccc3)CC[C@H](OC(=O)Nc3ccc(N(C)C)cc3)CC1)=NS2(=O)=O,IC50,'=',30.0,nM
CHEMBL3262810,Cc1ccc(C(=O)N2CCN(CCOc3ccccc3)CC2)cc1,IC50,'=',7140.0,nM
CHEMBL3262822,Cc1ccc(NC(=O)CN2CCN(CCOc3ccc(C#N)cc3)CC2)cc1,IC50,'=',4490.0,nM
CHEMBL3262799,Cc1ccccc1OCCN1CCN(C(=O)c2cccs2)CC1,IC50,'=',13530.0,nM
CHEMBL3262835,O=C(CN1CCN(CCOc2ccccc2Cl)CC1)Nc1nccs1,IC50,'=',3390.0,nM
CHEMBL3968881,COc1ccc(C(=O)Oc2cc(O)cc3oc(-c4ccc(OC)cc4)cc(=O)c23)cc1,IC50,'=',2040.0,nM
