rdkit_smiles,compound_id,NofA,pKi_mean,pKi_std
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,CHEMBL60143,1,5.2599999003114535,0.18191956447112131
CC(C)(C)OC[C@@H](N)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,CHEMBL293033,1,4.790000026071144,0.4719824216245228
CC(C)(C)[C@@H](N)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,CHEMBL62716,1,4.6599999253499025,0.4719824216245228
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,CHEMBL305660,1,8.483200295918376,0.1639776038099834
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,CHEMBL17157,3,7.740571862130852,0.6022728319974386
CC(C)(C)c1ccc(S(=O)(=O)N[C@H]2CCN(CCCOc3ccc(C(=O)C4CC4)cc3)C2)cc1,CHEMBL105071,1,5.638272163982407,0.18191956447112131
CC(C)(C)c1ccc(SCC(c2ccccn2)c2c[nH]cn2)cc1,CHEMBL1243335,1,5.0,0.18191956447112131
CC(C)(C)c1ccc(SCC(c2cccnc2)c2c[nH]cn2)cc1,CHEMBL1243366,1,5.0,0.18191956447112131
CC(C)(C)c1ccc(SCCc2c[nH]cn2)cc1,CHEMBL1098230,2,6.0,0.09566846312511786
CC(C)(C)c1nc(CN2CCN(Cc3ccccn3)CC2)cs1,CHEMBL4164366,1,5.924088238517222,0.18191956447112131
CC(C)(CN1CCCN(C2=Cc3ccccc3Cn3ccnc32)CC1)C(=O)O,CHEMBL1222623,1,7.299988937677887,0.40816916496270744
CC(C)(CN1CCN(C2=Cc3ccccc3Cn3c(Cl)cnc32)CC1)C(=O)O,CHEMBL1222762,1,7.400007822415903,0.40816916496270744
CC(C)(CN1CCN(C2=Cc3ccccc3Cn3cc(Cl)nc32)CC1)C(=O)O,CHEMBL1222695,1,7.100015437450608,0.40816916496270744
CC(C)(CN1CCN(C2=Cc3ccccc3Cn3cc(F)nc32)CC1)C(=O)O,CHEMBL1222763,1,7.400007822415903,0.40816916496270744
CC(C)(CN1CCN(C2=Cc3ccccc3Cn3ccnc32)CC1)C(=O)O,CHEMBL1222554,1,7.599980364934843,0.40816916496270744
CC(C)C(=O)NCc1ccc2c(c1)[C@@H](N1CCN(C)CC1)Cc1ccccc1S2,CHEMBL1259190,1,8.301029995663981,0.1639776038099834
CC(C)C(=O)NCc1ccc2c(c1)[C@H](N1CCN(C)CC1)Cc1ccccc1S2,CHEMBL1259189,1,8.346787486224656,0.1639776038099834
CC(C)CC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CHEMBL3357042,1,6.539102157243452,0.09566846312511786
CC(C)CN/C(=N/C#N)NC[C@@H]1CC[C@H](c2c[nH]cn2)C1,CHEMBL3805003,1,5.078313524516398,0.18191956447112131
CC(C)CN/C(=N/C#N)NC[C@H]1CC[C@H](c2c[nH]cn2)C1,CHEMBL3806255,1,5.057991946977686,0.18191956447112131
