,chembl,smile,pAct,relationship
546,None_CHEMBL1999832,COc1cc2nc(Nc3cccc(Br)c3)nc(Nc3cccc(Br)c3)c2cc1OC,6.07,=
547,None_CHEMBL1999832,COc1cc2nc(Nc3cccc(Br)c3)nc(Nc3cccc(Br)c3)c2cc1OC,6.17,=
548,None_CHEMBL3092491,COc1ccc(-c2nc(Nc3ccc(O)cc3)c3ccccc3n2)cc1OC,6.17,=
549,None_CHEMBL3092491,COc1ccc(-c2nc(Nc3ccc(O)cc3)c3ccccc3n2)cc1OC,6.33,=
550,None_CHEMBL3092498,COc1cc2nc(Nc3cccc(C(F)(F)F)c3)nc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,6.21,=
551,None_CHEMBL3092498,COc1cc2nc(Nc3cccc(C(F)(F)F)c3)nc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,6.1,=
552,None_CHEMBL3092483,COc1ccc(Nc2nc(-c3ccc(OC)c(OC)c3)nc3ccccc23)cc1OC,6.21,=
553,None_CHEMBL3092483,COc1ccc(Nc2nc(-c3ccc(OC)c(OC)c3)nc3ccccc23)cc1OC,6.38,=
554,None_CHEMBL3092499,COc1cc2nc(Nc3cccc(C#N)c3)nc(Nc3cccc(C#N)c3)c2cc1OC,6.33,=
555,None_CHEMBL3092499,COc1cc2nc(Nc3cccc(C#N)c3)nc(Nc3cccc(C#N)c3)c2cc1OC,6.32,=
556,None_CHEMBL3092482,COc1ccc(-c2nc(Nc3cccc(Br)c3)c3ccccc3n2)cc1OC,6.4,=
557,None_CHEMBL3092482,COc1ccc(-c2nc(Nc3cccc(Br)c3)c3ccccc3n2)cc1OC,6.54,=
558,None_CHEMBL3092500,COc1cc2nc(Nc3cccc([N+](=O)[O-])c3)nc(Nc3cccc([N+](=O)[O-])c3)c2cc1OC,6.5,=
559,None_CHEMBL3092500,COc1cc2nc(Nc3cccc([N+](=O)[O-])c3)nc(Nc3cccc([N+](=O)[O-])c3)c2cc1OC,6.48,=
560,None_CHEMBL3092486,COc1ccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)cc1OC,6.5,=
561,None_CHEMBL3092486,COc1ccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)cc1OC,6.52,=
562,None_CHEMBL3092486,COc1ccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)cc1OC,7.36,=
563,None_CHEMBL3092486,COc1ccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)cc1OC,7.36,=
564,None_CHEMBL3092486,COc1ccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)cc1OC,7.9,=
565,None_CHEMBL3092486,COc1ccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)cc1OC,8.13,=
566,None_CHEMBL3092486,COc1ccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)cc1OC,8.33,=
567,None_CHEMBL3092486,COc1ccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)cc1OC,5.53,=
