molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pIC50
CHEMBL399740,CN1C2CCC1[C@@H](COC(=O)CCCCCCC(=O)OC[C@@H]1C3CCC(C[C@@H]1c1ccc(Cl)c(Cl)c1)N3C)[C@@H](c1ccc(Cl)c(Cl)c1)C2,IC50,'=',11.0,nM,7.96,738.62,CHEMBL1143239,7.958607314841775
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,IC50,'=',47.0,nM,7.33,315.20,CHEMBL1130119,7.327902142064283
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,IC50,'=',1.09,nM,8.96,328.24,CHEMBL1130119,8.962573502059376
CHEMBL226984,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4cccc([N+](=O)[O-])c4)s2)N3C)cc1,IC50,'=',23.0,nM,7.64,419.55,CHEMBL1146223,7.638272163982407
CHEMBL229699,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(F)cc4)s2)N3C)cc1,IC50,'=',181.0,nM,6.74,392.54,CHEMBL1146223,6.7423214251308154
CHEMBL471898,Cc1ccc([C@H]2CC3CCC([C@H]2c2onc(C)c2-c2ccc(F)cc2)N3C)cc1.Cl,IC50,'=',76.0,nM,7.12,426.96,CHEMBL1155007,7.119186407719209
CHEMBL464422,COc1ccc(F)cc1CCC1CCC(CCN)O1,IC50,'=',27850.0,nM,4.55,267.34,CHEMBL1152805,4.555174800490252
CHEMBL450907,COc1ccc(F)cc1CCCC1CCC(CCN)O1,IC50,'=',16987.0,nM,4.77,281.37,CHEMBL1152805,4.76988331321378
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,'=',19500.0,nM,4.71,309.33,CHEMBL1152805,4.709965388637482
CHEMBL256397,CC(C)N(C(=O)[C@@]1(c2ccccc2)CC1CN)C(C)C,IC50,'<',10000.0,nM,,274.41,CHEMBL1143218,5.0
CHEMBL270240,CCN(CC)C(=O)C1(c2ccccc2)CC1CNCc1cccnc1,IC50,'<',10000.0,nM,,337.47,CHEMBL1143218,5.0
CHEMBL171106,COC(=O)C1C(c2cccc(Br)c2)CC2CCC1N2C,IC50,'=',7.93,nM,8.1,338.25,CHEMBL1126629,8.100726812682396
CHEMBL259209,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',6100.0,nM,5.21,246.35,CHEMBL1143218,5.214670164989233
CHEMBL2096858,COC(=O)[C@H]1C2CCC(C[C@@H]1c1ccc(Cl)cc1)N2C,IC50,'=',25.0,nM,7.6,293.79,CHEMBL1149262,7.6020599913279625
CHEMBL567479,CC(C)(C)NC(CCC1CCCCC1)C(=O)c1cccc(Cl)c1,IC50,'<',10000.0,nM,,335.92,CHEMBL1156106,5.0
CHEMBL589494,Cc1cccc(C(=O)C(C)N2CCCCC2)c1,IC50,'=',414.0,nM,6.38,231.34,CHEMBL1157604,6.382999658879101
CHEMBL563495,Clc1cccc(OC(c2ccccn2)[C@H]2CCNC2)c1Cl,IC50,'=',1060.0,nM,5.97,323.22,CHEMBL1151858,5.97469413473523
CHEMBL607377,COC(=O)C1C2CC[C@H](C[C@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,IC50,'=',2040.0,nM,5.69,401.45,CHEMBL1130119,5.690369832574101
CHEMBL130477,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCCN21,IC50,'=',4.2,nM,8.38,298.77,CHEMBL1135776,8.3767507096021
CHEMBL322605,COC(=O)[C@@H]1C2CCC(C2)CC1c1ccc2ccccc2c1,IC50,'=',25.0,nM,7.6,294.39,CHEMBL1133606,7.6020599913279625
CHEMBL123252,CN(CCCc1ccccc1)CCCN(C)CCOC(c1ccccc1)c1ccccc1,IC50,'=',237.0,nM,6.62,430.64,CHEMBL1132179,6.6252516539898965
CHEMBL2407319,CSCC(c1ccc(Cl)c(Cl)c1)C1CCNCC1.Cl,IC50,'=',79.0,nM,7.1,340.75,CHEMBL2406994,7.102372908709558
CHEMBL605501,CC(NC1CCCC1)C(=O)c1cccc(F)c1,IC50,'=',693.0,nM,6.16,235.30,CHEMBL1157604,6.159266765388193
CHEMBL432571,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2[C@@H](O)CC1N2C,IC50,'=',55.1,nM,7.26,342.22,CHEMBL1134553,7.258848401148215
CHEMBL103936,COC(=O)c1ccccc1-c1ccc2ccccc2c1,IC50,'=',145.0,nM,6.84,262.31,CHEMBL1133606,6.838631997765025
CHEMBL1830875,CNC[C@H](CCN1c2ccccc2N(c2ccccc2)S1(=O)=O)OC,IC50,'=',1035.0,nM,5.99,361.47,CHEMBL1828571,5.985059650207063
CHEMBL1830885,O=S1(=O)N(CC[C@@H]2CNCCO2)c2ccccc2N1c1ccccc1F,IC50,'=',2190.0,nM,5.66,377.44,CHEMBL1828571,5.6595558851598815
CHEMBL540107,CCOc1ccccc1C[C@@H](c1ccccc1)N1CCNCC1.Cl,IC50,'<',4000.0,nM,,346.90,CHEMBL1145304,5.3979400086720375
CHEMBL598614,CNC[C@@H](O)[C@H](c1cccc(F)c1)N1CC(C)(C)c2cccc(F)c21.Cl,IC50,'=',22834.0,nM,4.64,382.88,CHEMBL1157549,4.641418003281486
CHEMBL113136,CN(C)C[C@H]1C2CCC(CC2)[C@@H]1c1cccc(Cl)c1,IC50,'=',165.0,nM,6.78,277.84,CHEMBL1136239,6.782516055786093
CHEMBL2204341,COc1ccc(C(CN(C)C)[Si]2(O)CCCCC2)cc1,IC50,'=',2630.0,nM,5.58,293.48,CHEMBL2203023,5.580044251510242
CHEMBL119561,,IC50,'=',3.8,nM,8.42,696.88,CHEMBL1145865,8.42021640338319
CHEMBL536352,CCC(C)C(=O)[C@]12C(=O)[C@](CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C(=O)C(CC=C(C)C)=C2O,IC50,'=',2000.0,nM,5.7,550.82,CHEMBL3856218,5.698970004336019
CHEMBL1829335,C[C@@H]1CCCN1CCCOc1ccc(-c2ccc(=O)[nH]n2)cc1,IC50,'=',9400.0,nM,5.03,313.40,CHEMBL1811886,5.026872146400302
