molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pIC50
CHEMBL375685,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(Br)cc4)s2)N3C)cc1,IC50,'=',1820.0,nM,5.74,453.45,CHEMBL1146223,5.739928612014925
CHEMBL540107,CCOc1ccccc1C[C@@H](c1ccccc1)N1CCNCC1.Cl,IC50,'=',19.0,nM,7.72,346.90,CHEMBL1145304,7.721246399047171
CHEMBL491753,CCN(CC)CCCn1c2ccccc2c(=O)c2ccccc21,IC50,'<',10000.0,nM,,308.43,CHEMBL1138538,5.0
CHEMBL295467,CNCCC(Oc1ccccc1OC)c1ccccc1,IC50,'=',6.0,nM,8.22,271.36,CHEMBL1144192,8.221848749616356
CHEMBL453838,CNCCC(c1ccccc1)n1ccc2ccccc21,IC50,'=',47.0,nM,7.33,264.37,CHEMBL1144192,7.327902142064283
CHEMBL514515,CNCC[C@@H](c1ccccc1)N1C(=O)C2(CCCCC2)c2ccccc21,IC50,'<',3000.0,nM,,348.49,CHEMBL1144192,5.522878745280337
CHEMBL259209,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',41.0,nM,7.39,246.35,CHEMBL2384999,7.3872161432802645
CHEMBL637,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,IC50,'=',680.0,nM,6.17,277.41,CHEMBL2384999,6.167491087293763
CHEMBL511959,CN1CCN(C[C@@H](c2cccc(OC(F)(F)F)c2)C2(O)CCCCC2)CC1.Cl.Cl,IC50,'=',3474.0,nM,5.46,459.38,CHEMBL1155011,5.459170185888921
CHEMBL469460,COc1cccc(C(CN2CCNCC2)C2(O)CCCCC2)c1.Cl.Cl,IC50,'=',870.0,nM,6.06,391.38,CHEMBL1155011,6.060480747381382
CHEMBL520736,CN[C@@H]1Cc2ccccc2[C@@H](Oc2ccccc2C)C1,IC50,'=',200.0,nM,6.7,267.37,CHEMBL1157521,6.698970004336019
CHEMBL2407321,CS(=O)(=O)CC(c1ccc(Cl)c(Cl)c1)C1CCNCC1.Cl,IC50,'=',200.0,nM,6.7,372.75,CHEMBL2406994,6.698970004336019
CHEMBL152748,CCCN(c1ccnc2cc(Cl)ccc12)n1ccc2ccccc21.O=C(O)/C=C/C(=O)O,IC50,'=',6900.0,nM,5.16,451.91,CHEMBL1129670,5.161150909262744
CHEMBL155109,CCCCN(c1ccncc1)n1ccc2ccccc21,IC50,'=',430.0,nM,6.37,265.36,CHEMBL1129670,6.366531544420414
CHEMBL603620,COc1cccc(C(=O)C(C)NC(C)(C)C)c1,IC50,'<',100.0,nM,,235.33,CHEMBL1157604,7.0
CHEMBL154297,Cc1cc2ccccc2n1Nc1ccncc1,IC50,'=',3600.0,nM,5.44,223.28,CHEMBL1129670,5.443697499232712
CHEMBL1830884,O=S1(=O)N(CCC2CCCNC2)c2ccccc2N1c1ccccc1,IC50,'=',30.0,nM,7.52,357.48,CHEMBL1828571,7.522878745280337
CHEMBL1830883,CN1CCOC(CN2c3ccccc3N(c3ccccc3)S2(=O)=O)C1,IC50,'=',2304.0,nM,5.64,359.45,CHEMBL1828571,5.637517525248826
CHEMBL1830880,O=S1(=O)N(CC2CNCCO2)c2ccccc2N1c1ccccc1,IC50,'=',74.0,nM,7.13,345.42,CHEMBL1828571,7.130768280269024
CHEMBL1830876,CNC[C@@H](CCN1c2ccccc2N(c2ccccc2)S1(=O)=O)OC,IC50,'=',13.0,nM,7.89,361.47,CHEMBL1828571,7.886056647693163
CHEMBL1830876,CNC[C@@H](CCN1c2ccccc2N(c2ccccc2)S1(=O)=O)OC,IC50,'=',27.0,nM,7.57,361.47,CHEMBL1828571,7.568636235841013
CHEMBL1082458,CNC[C@@H](O)CCN1c2ccccc2N(c2ccccc2F)S1(=O)=O,IC50,'=',4.0,nM,8.4,365.43,CHEMBL1828571,8.397940008672037
CHEMBL1830890,O=S1(=O)N(CCC2CNCCO2)c2cc(F)ccc2N1c1ccccc1F,IC50,'=',14.0,nM,7.85,395.43,CHEMBL1828571,7.853871964321762
CHEMBL1830892,O=S1(=O)N(CCC2CNCCO2)c2cccc(F)c2N1c1ccccc1F,IC50,'=',7.0,nM,8.15,395.43,CHEMBL1828571,8.154901959985743
CHEMBL1830892,O=S1(=O)N(CCC2CNCCO2)c2cccc(F)c2N1c1ccccc1F,IC50,'=',13.0,nM,7.89,395.43,CHEMBL1828571,7.886056647693163
CHEMBL2380975,CNC[C@@H]1CCC[C@H]1c1ccc2[nH]cc(C#N)c2c1,IC50,'=',3700.0,nM,5.43,253.35,CHEMBL2380269,5.431798275933005
CHEMBL589494,Cc1cccc(C(=O)C(C)N2CCCCC2)c1,IC50,'=',577.0,nM,6.24,231.34,CHEMBL1157604,6.238824186844268
CHEMBL295467,CNCCC(Oc1ccccc1OC)c1ccccc1,IC50,'=',7.943,nM,8.1,271.36,CHEMBL1811752,8.100015437450608
CHEMBL218848,CC(C)C(c1ccc(Cl)cc1)C1CCCCN1,IC50,'=',51.0,nM,7.29,251.80,CHEMBL1139231,7.292429823902063
CHEMBL498680,CNC[C@@H]1SCc2ccccc2[C@@H]1Oc1ccccc1Cl,IC50,'=',140.0,nM,6.85,319.86,CHEMBL1156582,6.853871964321762
CHEMBL497666,CNC[C@@H]1Cc2ccccc2[C@@H]1Oc1ccc(C(F)(F)F)cc1,IC50,'=',880.0,nM,6.06,321.34,CHEMBL1156582,6.055517327849832
CHEMBL456223,COc1ccc(F)cc1CC[C@@H]1CC[C@H](CN)O1,IC50,'=',4746.0,nM,5.32,253.32,CHEMBL1152751,5.32367226611868
CHEMBL1684045,CNC(C)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,IC50,'=',57.0,nM,7.24,286.25,CHEMBL1681689,7.2441251443275085
CHEMBL1684055,CC(N(C)C)C1(c2ccc3ccccc3c2)CCCCC1,IC50,'=',21.0,nM,7.68,281.44,CHEMBL1681689,7.6777807052660805
CHEMBL1684043,CCC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,IC50,'=',120.0,nM,6.92,286.25,CHEMBL1681689,6.920818753952375
CHEMBL1684049,CC(N)C1(c2cccc3ccccc23)CCCCC1,IC50,'=',4000.0,nM,5.4,253.39,CHEMBL1681689,5.3979400086720375
CHEMBL1684050,CC(N)C1(c2ccc3ccccc3c2)CCCCC1,IC50,'=',330.0,nM,6.48,253.39,CHEMBL1681689,6.481486060122113
CHEMBL1684052,CC(N)C1(c2ccc(OC(C)(C)C)cc2)CCCCC1,IC50,'=',5000.0,nM,5.3,275.44,CHEMBL1681689,5.301029995663981
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,IC50,'=',462.0,nM,6.33,303.36,CHEMBL1143600,6.335358024443875
CHEMBL1643519,CN(C)[C@H]1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,IC50,'=',3091.0,nM,5.51,321.25,CHEMBL1641425,5.509900994936695
CHEMBL3334793,CN(C)CCC(c1cc2ccccc2s1)N1CCOCC1,IC50,'=',1456.3,nM,5.84,304.46,CHEMBL3352559,5.836749150487369
CHEMBL3334801,COc1ccc2cc(C(CCN(C)C)N3CCCC3)ccc2c1Cl,IC50,'=',373.5,nM,6.43,346.90,CHEMBL3352559,6.427709393848582
CHEMBL2430682,O=C1NCC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,IC50,'=',1662.0,nM,5.78,306.19,CHEMBL2429823,5.779368980551908
CHEMBL2430685,O=C1NCC(c2ccc(Cl)cc2)C1c1ccc(Cl)c(Cl)c1,IC50,'=',1900.0,nM,5.72,340.64,CHEMBL2429823,5.721246399047171
CHEMBL2430699,O=C1NCC(c2ccc(Cl)c(Cl)c2)C1c1ccc2ccccc2c1,IC50,'=',482.9,nM,6.32,356.25,CHEMBL2429823,6.316142794599654
CHEMBL3323185,CN1Cc2cc(N3CCCCC3)ccc2C(c2cc3ccccc3s2)C1,IC50,'=',110.0,nM,6.96,362.54,CHEMBL3351632,6.958607314841775
CHEMBL3819009,Cl.O=c1[nH]c(-c2ccn(C[C@@H]3CNCCO[C@H]3c3ccc(Cl)c(F)c3)c(=O)c2)no1,IC50,'=',1.9,nM,8.72,457.29,CHEMBL3817725,8.721246399047171
CHEMBL637,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,IC50,'=',5722.0,nM,5.24,277.41,CHEMBL3352322,5.2424521465307565
CHEMBL115444,O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC(n2c(O)nc3ccccc32)CC1,IC50,'=',3020.0,nM,5.52,429.86,CHEMBL1134625,5.519993057042849
CHEMBL562115,COC(=O)[C@H]1[C@@H](c2ccc(C)cc2)C[C@@H]2CC[C@H]1N2CC#CCF,IC50,'=',31.04,nM,7.51,329.42,CHEMBL2203057,7.508078287413849
CHEMBL1684044,CC(C)CC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,IC50,'=',890.0,nM,6.05,314.30,CHEMBL1681689,6.050609993355087
CHEMBL256020,NCC1CC1(C(=O)N1CCCCC1)c1ccccc1,IC50,'=',170.0,nM,6.77,258.37,CHEMBL1143218,6.769551078621726
CHEMBL256646,CCN(Cc1ccccc1)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',200.0,nM,6.7,308.43,CHEMBL1143218,6.698970004336019
CHEMBL272530,CCN(C(=O)C1(c2ccccc2)CC1CN)C(C)(C)C,IC50,'=',8000.0,nM,5.1,274.41,CHEMBL1143218,5.096910013008056
CHEMBL269799,CCN(C)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',1400.0,nM,5.85,232.33,CHEMBL1143218,5.853871964321762
CHEMBL450623,NCC1CC1(C(=O)NC1CC1)c1ccccc1,IC50,'<',10000.0,nM,,230.31,CHEMBL1143218,5.0
CHEMBL401976,CCN(CC)C(=O)[C@@]1(c2ccccn2)C[C@H]1CN,IC50,'=',1500.0,nM,5.82,247.34,CHEMBL1143093,5.823908740944319
CHEMBL303266,CN1C2CCC1C(C(=O)NCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,IC50,'=',266.0,nM,6.58,597.63,CHEMBL1136813,6.575118363368933
CHEMBL668,CNCCCC1c2ccccc2C=Cc2ccccc21,IC50,'=',2.8,nM,8.55,263.38,CHEMBL3875185,8.55284196865778
CHEMBL321067,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@@](O)(c2ccccc2)CN43)cc1,IC50,'=',11.0,nM,7.96,319.45,CHEMBL1133495,7.958607314841775
CHEMBL218849,CCCCC(c1ccc(Cl)cc1)C1CCCCN1,IC50,'=',180.0,nM,6.75,265.83,CHEMBL1139231,6.7447274948966935
CHEMBL1175,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,IC50,'=',4.0,nM,8.4,297.42,CHEMBL1158540,8.397940008672037
CHEMBL1095523,OC1(C(CN2CCNCC2)c2cc(Cl)sc2Cl)CCCCC1,IC50,'=',225.0,nM,6.65,363.35,CHEMBL1158540,6.647817481888637
CHEMBL1097470,OC1(C(CN2CCNCC2)c2cc3ccccc3s2)CCCCC1,IC50,'=',550.0,nM,6.26,344.52,CHEMBL1158540,6.259637310505756
CHEMBL111128,CNC[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,IC50,'=',28.0,nM,7.55,265.40,CHEMBL4219032,7.552841968657781
