molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pIC50
CHEMBL402851,CN(C)Cc1ccccc1Oc1ccccc1Cl,IC50,'=',282.0,nM,6.55,261.75,CHEMBL1141595,6.549750891680639
CHEMBL256816,CNCc1ccccc1Oc1ccc(Cl)cc1Cl,IC50,'=',56.0,nM,7.25,282.17,CHEMBL1141595,7.251811972993799
CHEMBL399740,CN1C2CCC1[C@@H](COC(=O)CCCCCCC(=O)OC[C@@H]1C3CCC(C[C@@H]1c1ccc(Cl)c(Cl)c1)N3C)[C@@H](c1ccc(Cl)c(Cl)c1)C2,IC50,'=',31.0,nM,7.51,738.62,CHEMBL1143239,7.508638306165727
CHEMBL2114227,COC(=O)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)C2CC(=O)C1N2C,IC50,'=',290.0,nM,6.54,342.22,CHEMBL1134553,6.5376020021010435
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,'=',10.0,nM,8.0,309.33,CHEMBL1138600,8.0
CHEMBL467512,CNC[C@@H](O)[C@H](c1ccccc1)N(C)c1cccc(OC)c1,IC50,'=',17.0,nM,7.77,300.40,CHEMBL1138600,7.769551078621726
CHEMBL506874,CNC[C@@H](O)[C@H](c1ccccc1)N(C)c1cccc2ccccc12,IC50,'=',836.0,nM,6.08,320.44,CHEMBL1138600,6.077793722560983
CHEMBL247733,Cc1cccc(CN(C2CCOCC2)[C@H]2CCNC2)c1C,IC50,'=',9.0,nM,8.05,288.44,CHEMBL1139125,8.045757490560675
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,IC50,'=',58.0,nM,7.24,315.20,CHEMBL1130119,7.236572006437063
CHEMBL226984,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4cccc([N+](=O)[O-])c4)s2)N3C)cc1,IC50,'=',2380.0,nM,5.62,419.55,CHEMBL1146223,5.623423042943488
CHEMBL375685,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(Br)cc4)s2)N3C)cc1,IC50,'=',1840.0,nM,5.74,453.45,CHEMBL1146223,5.735182176990463
CHEMBL388612,CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc(Cl)c(Cl)c3)s1)[C@@H](c1ccc(Cl)cc1)C2,IC50,'=',5300.0,nM,5.28,463.86,CHEMBL1146223,5.275724130399211
CHEMBL227232,CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc([N+](=O)[O-])cc3)s1)[C@@H](c1ccc(Cl)cc1)C2,IC50,'=',3600.0,nM,5.44,439.97,CHEMBL1146223,5.443697499232712
CHEMBL388759,CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc(Br)cc3)s1)[C@@H](c1ccc(Cl)cc1)C2,IC50,'=',8220.0,nM,5.08,473.87,CHEMBL1146223,5.0851281824599495
CHEMBL451120,CSc1ccc(Oc2ccc(Br)cc2CN(C)C)cc1,IC50,'=',2.0,nM,8.7,352.30,CHEMBL1155050,8.698970004336019
CHEMBL1080726,Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3)CC2)cc(-c2ccccc2)n1C,IC50,'=',11.0,nM,7.96,451.01,CHEMBL1212860,7.958607314841775
CHEMBL1086754,Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2ccccc2)n1C,IC50,'=',62.0,nM,7.21,485.46,CHEMBL1212860,7.2076083105017466
CHEMBL1214428,Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2ccc(Cl)cc2)n1C,IC50,'=',733.0,nM,6.13,519.90,CHEMBL1212860,6.134896025358872
CHEMBL1214489,CCCn1c(-c2ccc(Cl)cc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C.Cl,IC50,'=',1159.0,nM,5.94,584.42,CHEMBL1212860,5.935916564036404
CHEMBL3217141,Cc1[nH]c(-c2ccccn2)cc1C(=O)NCCCN1CCN(c2cccc(Cl)c2Cl)CC1.Cl.Cl.Cl.Cl,IC50,'=',28.0,nM,7.55,618.26,CHEMBL1212860,7.552841968657781
CHEMBL1214546,CCCn1c(-c2cccnc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,IC50,'=',133.0,nM,6.88,514.50,CHEMBL1212860,6.876148359032914
CHEMBL1643509,NC1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,IC50,'=',650.0,nM,6.19,293.20,CHEMBL1641425,6.187086643357144
CHEMBL1272041,COc1c(C)nc(C)nc1C(=O)NCCN1CCN(c2cccc(C)c2C)CC1.Cl,IC50,'=',2096.0,nM,5.68,433.98,CHEMBL1268978,5.678608721688311
CHEMBL460204,COc1ccc(F)cc1CCCCC1CCC(CCN)O1,IC50,'=',31.0,nM,7.51,295.40,CHEMBL1152751,7.508638306165727
