molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pKi
CHEMBL248825,O=C(OCc1ccco1)C1=C(c2ccc(Cl)c(Cl)c2)CCC1,Ki,'=',1500.0,nM,5.82,337.20,CHEMBL1140483,5.823908740944319
CHEMBL428408,O=C(NCc1cccs1)C1=C(c2ccc(Cl)c(Cl)c2)CCC1,Ki,'=',140.0,nM,6.85,352.29,CHEMBL1140483,6.853871964321762
CHEMBL249213,CON(C)C(=O)C1=C(c2ccc(Cl)c(Cl)c2)CCC1,Ki,'=',6400.0,nM,5.19,300.19,CHEMBL1140483,5.1938200260161125
CHEMBL250008,CCN(CC)C(=O)C1=C(c2ccc(Cl)c(Cl)c2)CCC1,Ki,'=',94000.0,nM,4.03,312.24,CHEMBL1140483,4.026872146400302
CHEMBL513859,FC[C@@H](Cc1ccccc1)N1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Ki,'=',110.0,nM,6.96,468.56,CHEMBL1149914,6.958607314841775
CHEMBL466538,C=C(Cc1ccccc1)CN1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Ki,'=',100.0,nM,7.0,462.58,CHEMBL1149914,7.0
CHEMBL469165,CC(O)(CCN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1)c1ccccc1,Ki,'=',7.0,nM,8.15,444.62,CHEMBL1149914,8.154901959985743
CHEMBL440584,CNCc1cnc(C)cc1Oc1ccccc1Cl,Ki,'=',834.0,nM,6.08,262.74,CHEMBL1144031,6.078833949362261
CHEMBL261465,CCc1ccccc1Oc1cc(C)ncc1CNC,Ki,'=',2280.0,nM,5.64,256.35,CHEMBL1144031,5.642065152999546
CHEMBL561132,CN([C@@H]1CCc2c(CC(=O)O)c3ccccc3n2C1)S(=O)(=O)c1ccc(F)cc1,Ki,'=',283.0,nM,6.55,416.47,CHEMBL5169023,6.548213564475709
CHEMBL4202787,CCOC(=O)[C@@H]1CN(CCn2c(=O)[nH]c3ccccc3c2=O)CC[C@@H]1c1ccc(F)cc1,Ki,'=',4170.0,nM,5.38,439.49,CHEMBL4196220,5.379863945026242
