compound_id,base_rdkit_smiles,relation,avg_pKi
CHEMBL2113217,C#CCC(C(=O)c1ccc(C)cc1)N1CCCC1,,5.3872161432802645
CHEMBL220765,C#CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1,,6.280668713016273
CHEMBL451071,C#C[C@H]1[C@@H](c2ccc(C)cc2)C[C@@H]2CC[C@H]1N2C,,6.823908740944319
CHEMBL449047,C#C[C@H]1[C@@H](c2ccc(Cl)cc2)C[C@@H]2CC[C@H]1N2C,,7.1249387366083
CHEMBL1479,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,,5.247874692702101
CHEMBL691,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,6.021819483062586
CHEMBL1201151,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,,5.862962545210487
CHEMBL330666,C#Cc1ccc(C2CN3CCCC3c3ccccc32)cc1,,7.779891911959945
CHEMBL286312,C#Cc1ccc([C@@H]2CN3CCC[C@@H]3c3ccccc32)cc1,,8.387216143280265
CHEMBL394158,C#Cc1ccc([C@@H]2C[C@H]3CC[C@@H](N3)[C@H]2C(=O)OC)cc1,,8.730487055782083
CHEMBL4227753,C#Cc1ccc([C@H]2CN3CCC[C@H]3c3ccccc32)cc1,,6.6439741428068775
CHEMBL43064,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,5.551602896542232
CHEMBL232498,C/C=C/C1=C(c2ccc(Cl)c(Cl)c2)CCCC1,,3.5934598195660445
CHEMBL2326690,C1=CCC(c2cc3ccccc3o2)CNC1,,7.337242168318426
CHEMBL2322001,C1=CCC(c2ccc3ccccc3c2)CNC1,,7.6020599913279625
CHEMBL75880,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,,5.485850865524562
CHEMBL1601669,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,,6.0
CHEMBL212452,C=C1CN2C3CCC2C1C(c1ccc(Br)cc1)C3,,8.531652669587842
CHEMBL377785,C=C1CN2C3CCC2C1C(c1ccc(C)cc1)C3,,7.762456261857126
CHEMBL378536,C=C1CN2C3CCC2C1C(c1ccc(Cl)cc1)C3,,8.315154638355587
CHEMBL380383,C=C1CN2C3CCC2C1C(c1ccc(I)cc1)C3,,8.231361898752386
CHEMBL202410,C=CCC(C(=O)c1ccc(C)cc1)N1CCCC1,,5.853871964321762
CHEMBL202348,C=CCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,,6.293282217663242
CHEMBL1173087,C=CCC(OC)[C@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,8.70000391120795
CHEMBL3754166,C=CCN(CC=C)CCc1c[nH]c2ccc(Br)cc12,,6.0
CHEMBL3753318,C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12,<,5.0
CHEMBL3752900,C=CCN(CC=C)CCc1c[nH]c2ccc(Cl)cc12,,6.199998172182031
CHEMBL3754496,C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,,5.700000503883016
CHEMBL2391541,C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,,4.965033125873775
CHEMBL3752576,C=CCN(CC=C)CCc1c[nH]c2ccccc12,,6.0
CHEMBL417249,C=CCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,,5.22767829327708
CHEMBL578219,C=CCN1C2CCC1[C@@H](C(=O)OC)[C@@H](c1ccc(SC)cc1)C2,,5.698970004336019
CHEMBL575206,C=CCN1C2CCC1[C@@H](C(=O)OC)[C@@H](c1ccc(SCC)cc1)C2,>,5.698970004336019
CHEMBL218262,C=CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1,,6.057495893831919
CHEMBL221903,C=CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cccc(C(C)=O)c1,,5.910094888560602
CHEMBL3085028,C=CCN1[C@@H]2CC[C@H]1C[C@@H](NC(c1ccc(F)cc1)c1ccc(F)cc1)C2,,5.253365801062421
CHEMBL365812,C=CCNCc1ccccc1Sc1ccc(C)cc1N,,5.4175957019809715
CHEMBL190703,C=Cc1ccc(Sc2ccccc2CN(C)C)c(N)c1,,6.570247719997592
CHEMBL394157,C=Cc1ccc([C@@H]2C[C@H]3CC[C@@H](N3)[C@H]2C(=O)OC)cc1,,8.330683119433887
CHEMBL1173753,CC#CNC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,6.299997602857746
CHEMBL204538,CC#Cc1ccc(C(=O)C(CCC)N2CCCC2)cc1,,7.156144577376839
CHEMBL219540,CC(=O)C(c1ccccc1)C1CCCCN1,,5.568636235841013
CHEMBL376737,CC(=O)CN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1,,6.419075024324381
CHEMBL479044,CC(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1,,6.906578314837765
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,,4.619734474870799
CHEMBL311469,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,,5.0693565589578355
CHEMBL209821,CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2)c1,>,5.698970004336019
CHEMBL1173754,CC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,7.79997073344623
CHEMBL217987,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2)cc(C(C)=O)c1,,7.022276394711152
CHEMBL220766,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2C(=N)N)cc(C(C)=O)c1,,6.411168274405792
