molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pKi
CHEMBL1170211,Fc1cc(N2CCNCC2Cc2ccccc2)cc2cc[nH]c12,Ki,'=',6.31,nM,8.2,309.39,CHEMBL1177766,8.199970640755867
CHEMBL1170794,Cn1ccc2cc(N3CCNCC3Cc3ccccc3)ccc21,Ki,'=',50.12,nM,7.3,305.43,CHEMBL1177766,7.299988937677887
CHEMBL1083426,Fc1ccccc1C(Cc1ccccc1OC(F)(F)F)N1CCNCC1,Ki,'=',17.0,nM,7.77,368.37,CHEMBL1155538,7.769551078621726
CHEMBL356531,CN([C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21)C(C)(C)C,Ki,'=',2200.0,nM,5.66,348.32,CHEMBL1133565,5.657577319177793
CHEMBL2113279,COc1ccc(-c2cnc([C@H]3[C@@H](c4ccc(C)cc4)C[C@@H]4CC[C@H]3N4C)s2)cc1OC,Ki,'=',1390.0,nM,5.86,434.61,CHEMBL1146223,5.856985199745905
CHEMBL226984,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4cccc([N+](=O)[O-])c4)s2)N3C)cc1,Ki,'=',990.0,nM,6.0,419.55,CHEMBL1146223,6.00436480540245
CHEMBL229381,Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(Cl)cc4)s2)N3C)cc1,Ki,'=',2870.0,nM,5.54,409.00,CHEMBL1146223,5.542118103266008
CHEMBL388759,CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc(Br)cc3)s1)[C@@H](c1ccc(Cl)cc1)C2,Ki,'=',3290.0,nM,5.48,473.87,CHEMBL1146223,5.482804102050026
CHEMBL458488,CCOc1ccc([C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OC)N3C)cc1.Cl,Ki,'=',1690.0,nM,5.77,339.86,CHEMBL1151730,5.772113295386326
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,'=',1740.0,nM,5.76,303.36,CHEMBL1133189,5.7594507517174005
CHEMBL132676,OC1(c2ccc3ccccc3c2)c2ccccc2C2=NCCN21,Ki,'=',11.0,nM,7.96,300.36,CHEMBL1135776,7.958607314841775
CHEMBL448912,NCCC1CCC(Cc2ccccc2)O1,Ki,'<',10000.0,nM,,205.30,CHEMBL1152751,5.0
CHEMBL450907,COc1ccc(F)cc1CCCC1CCC(CCN)O1,Ki,'=',10600.0,nM,4.97,281.37,CHEMBL1152751,4.97469413473523
CHEMBL460204,COc1ccc(F)cc1CCCCC1CCC(CCN)O1,Ki,'=',4064.0,nM,5.39,295.40,CHEMBL1152751,5.391046300724137
CHEMBL463431,COc1ccc(C2=NN(CCCCCBr)C(=O)[C@@H]3CC=CC[C@H]23)cc1OC,Ki,'=',39119.0,nM,4.41,435.36,CHEMBL1152805,4.4076122556235156
CHEMBL401683,CNCc1cc(C(=O)N2CCCN(C3CC3)CC2)ccc1Oc1ccccc1,Ki,'=',470.0,nM,6.33,379.50,CHEMBL1141555,6.327902142064283
CHEMBL403148,CNCc1cc(C(=O)N2CCN(C(C)C)CC2)ccc1Oc1cccc(OC)c1,Ki,'=',730.0,nM,6.14,397.52,CHEMBL1141555,6.136677139879544
CHEMBL402644,CNCc1cc(C(=O)N2CCN(C3CC3)CC2)ccc1Oc1ccc(Cl)c(Cl)c1,Ki,'=',3200.0,nM,5.5,434.37,CHEMBL1141555,5.494850021680094
CHEMBL409877,CNCc1cc(C(=O)N2CCN(C3CC3)CC2)ccc1Oc1ccc(SC)c(C)c1,Ki,'=',4800.0,nM,5.32,425.60,CHEMBL1141555,5.318758762624412
CHEMBL270165,CNCc1cc(C(=O)N2CCN(C3CC3)CC2)ccc1Oc1ccc(SC)cc1,Ki,'=',3700.0,nM,5.43,411.57,CHEMBL1141555,5.431798275933005
CHEMBL174088,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C\I)cc1)N2,Ki,'=',24.0,nM,7.62,397.26,CHEMBL1136726,7.619788758288394
CHEMBL1224092,CCCC1(C(=O)c2ccc3[nH]ncc3c2)CCCN1,Ki,'=',12.59,nM,7.9,257.34,CHEMBL1221322,7.899974269892137
