compound_id,base_rdkit_smiles,relation,avg_pKi
CHEMBL202348,C=CCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,,5.97469413473523
CHEMBL1173087,C=CCC(OC)[C@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,9.399974269892137
CHEMBL3754166,C=CCN(CC=C)CCc1c[nH]c2ccc(Br)cc12,,6.900008766455316
CHEMBL3753318,C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12,,6.439997673226633
CHEMBL3752900,C=CCN(CC=C)CCc1c[nH]c2ccc(Cl)cc12,,7.389978975335855
CHEMBL3754496,C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,,7.439973751087107
CHEMBL2391541,C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,,6.061226405879642
CHEMBL3752576,C=CCN(CC=C)CCc1c[nH]c2ccccc12,,6.819988880942282
CHEMBL578219,C=CCN1C2CCC1[C@@H](C(=O)OC)[C@@H](c1ccc(SC)cc1)C2,,8.259637310505756
CHEMBL575206,C=CCN1C2CCC1[C@@H](C(=O)OC)[C@@H](c1ccc(SCC)cc1)C2,,7.327902142064283
CHEMBL218262,C=CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1,,7.161150909262744
CHEMBL221903,C=CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cccc(C(C)=O)c1,,6.66354026615147
CHEMBL3085028,C=CCN1[C@@H]2CC[C@H]1C[C@@H](NC(c1ccc(F)cc1)c1ccc(F)cc1)C2,,5.406713932979542
CHEMBL365812,C=CCNCc1ccccc1Sc1ccc(C)cc1N,,7.092051478387727
CHEMBL3769968,C=CCOc1cc(F)c(F)cc1C1CC1CN,,5.899986343545393
CHEMBL190703,C=Cc1ccc(Sc2ccccc2CN(C)C)c(N)c1,,8.950781977329818
CHEMBL394157,C=Cc1ccc([C@@H]2C[C@H]3CC[C@@H](N3)[C@H]2C(=O)OC)cc1,,8.043831569524636
CHEMBL1173753,CC#CNC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,7.0
CHEMBL204538,CC#Cc1ccc(C(=O)C(CCC)N2CCCC2)cc1,,5.173925197299173
CHEMBL219540,CC(=O)C(c1ccccc1)C1CCCCN1,,5.107905397309519
CHEMBL376737,CC(=O)CN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1,,7.958607314841775
CHEMBL479044,CC(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1,,5.235823867609669
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,,6.549750891680639
CHEMBL426959,CC(=O)N1C[C@@H]2C(=NO[C@H]2CN2CCN(CCC/C=C/c3ccccc3)CC2)c2ccccc21,,7.214670164989233
CHEMBL311469,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,,5.492683959923586
CHEMBL176116,CC(=O)Oc1ccc2c(c1)OC[C@@H]1C2=NO[C@H]1CN1CCN(C/C(C)=C/c2ccccc2)CC1,,8.113509274827518
CHEMBL1173754,CC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,9.0
CHEMBL217987,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2)cc(C(C)=O)c1,,8.455931955649724
CHEMBL220766,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2C(=N)N)cc(C(C)=O)c1,,7.721246399047171
CHEMBL383879,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2C(C)=O)cc(C(C)=O)c1,,5.262409833714278
CHEMBL386493,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CC(F)F)cc(C(C)=O)c1,,6.484126156288321
CHEMBL385607,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CC(N)=O)cc(C(C)=O)c1,,6.1487416512809245
CHEMBL384199,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CCCO)cc(C(C)=O)c1,,6.673664139071248
