molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL1237064,Clc1ccc([C@@]23CCNC[C@@H]2C3)cc1Cl,Ki,'=',12.59,nM
CHEMBL1173087,C=CCC(OC)[C@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,Ki,'=',0.1259,nM
CHEMBL1173416,COC[C@@]12CN[C@@H](C)C[C@]1(c1ccc(Cl)c(Cl)c1)C2,Ki,'=',7.943,nM
CHEMBL1173595,Clc1ccc([C@]23CCNC[C@@]2(COCC2CC2)C3)cc1Cl,Ki,'=',3.981,nM
CHEMBL569251,O=C1Cc2c(ccc3c2OC[C@H](CNCC2CCc4[nH]c5ccc(F)cc5c4C2)O3)N1,Ki,'=',1.0,nM
CHEMBL567454,O=c1[nH]c2cccc(OC3CCN(CC4CCc5[nH]c6ccc(F)cc6c5C4)CC3)c2o1,Ki,'=',3.0,nM
CHEMBL573532,c1ccc(Oc2ccccc2N2CCNCC2)cc1,Ki,'=',1880.0,nM
CHEMBL583332,Cc1ccc(F)c(Oc2ccccc2C2CCNCC2)c1,Ki,'=',26.0,nM
CHEMBL573766,Fc1cccc(OCc2ccccc2C2CCNCC2)c1,Ki,'=',49.0,nM
CHEMBL574427,Fc1ccc(Oc2cc(F)c(F)cc2C2CCNCC2)cc1,Ki,'=',260.0,nM
CHEMBL1080884,Fc1ccc(OC[C@@H]2CNCCO2)c2c1CCC2,Ki,'=',21.0,nM
CHEMBL477587,N#Cc1ccc2[nH]cc([C@H]3CC[C@H](N4CCc5cc(OCCCF)ccc5C4)CC3)c2c1,Ki,'=',2310.0,nM
CHEMBL565397,CC(C)NC(C)C(=O)c1cccc(Cl)c1,Ki,'>',10000.0,nM
CHEMBL576622,CCCCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,Ki,'>',10000.0,nM
CHEMBL596001,CN1C2CCC1[C@@H](C(=O)OCc1cn(CCCCCCOC(=O)[C@H]3C4CCC(C[C@@H]3c3ccc(Cl)cc3)N4C)nn1)[C@@H](c1ccc(Cl)cc1)C2,Ki,'=',0.86,nM
CHEMBL459165,c1ccc(CC2(c3ccc4cc[nH]c4c3)CCNC2)cc1,Ki,'=',190.0,nM
CHEMBL445747,Cc1cccc([C@H]2C[C@@H]2CN)c1.Cl,Ki,'=',5441.0,nM
CHEMBL1258763,O=C1NCc2cc(F)c(OCCCN3CCN(c4cccc5cc(F)ccc45)CC3)cc21,Ki,'=',9.22,nM
CHEMBL122859,O=C1CN(CCc2ccccc2)CCN1CCOC(c1ccc(F)cc1)c1ccc(F)cc1,Ki,'=',114.0,nM
CHEMBL538405,Fc1ccc(C(OCCC2CCN(Cc3cc4ccccc4[nH]3)CC2)c2ccc(F)cc2)cc1,Ki,'=',88.0,nM
CHEMBL63703,c1ccc(CN2CCC(NCCOC(c3ccccc3)c3ccccc3)CC2)cc1,Ki,'=',2160.0,nM
CHEMBL236783,CSc1ccc(C2CN(C)Cc3cc(Oc4cncc(CN5CCCCC5)c4)ccc32)cc1,Ki,'=',8.3,nM
CHEMBL2386166,COc1ccc(O[C@H](CC(C)C)[C@@H]2CCNC2)c(C)n1,Ki,'=',0.75,nM
CHEMBL598216,OCC[C@H]1[C@@H]2CNC[C@]12c1ccc(Cl)c(Cl)c1,Ki,'=',2.512,nM
CHEMBL611063,Cl.Clc1ccc([C@]23CNC[C@H]2[C@@H]3COC2CCC2)cc1Cl,Ki,'=',0.3162,nM
CHEMBL602235,CC(C)OC[C@H]1[C@@H]2CNC[C@@]21c1ccc(Cl)c(Cl)c1,Ki,'=',39.81,nM
CHEMBL597190,FC(F)(F)COC[C@@H]1[C@H]2CNC[C@]21c1ccc(Cl)c(Cl)c1,Ki,'=',0.631,nM
CHEMBL1241640,CCOC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2,Ki,'=',15.85,nM
CHEMBL419316,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C(\C)c4ccccc4)CC3)[C@@H]1CO2,Ki,'=',10.0,nM
CHEMBL2112973,CCNC(=O)N1C[C@@H]2C(=NO[C@H]2CN2CCN(C/C=C/c3ccccc3)CC2)c2ccccc21,Ki,'=',23.0,nM
CHEMBL425324,C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC(=O)c5ccncc5)cc4OC[C@H]32)CC1,Ki,'=',13.0,nM
